11,2,3,4,5,6,7,8,9,10,11
nb,nb,od,id,height,width,end flat,hole dia,radius,wtkg,nom size
BX-150,BX-150,72.19,53.59,9.3,9.3,7.98,1.5,0.93,0.14,43
BX-151,BX-151,76.4,57.14,9.63,9.63,8.26,1.5,0.96,0.16,46
BX-152,BX-152,84.68,64.2,10.24,10.24,8.79,1.5,1.02,0.2,52
BX-153,BX-153,100.94,78.18,11.38,11.38,9.78,1.5,1.13,0.3,65
BX-154,BX-154,116.84,92.04,12.4,12.4,10.64,1.5,1.24,0.41,78
BX-155,BX-155,147.96,119.52,14.22,14.22,12.22,1.5,1.42,0.69,103
BX-156,BX-156,237.92,200.68,18.62,18.62,15.98,3,1.86,1.94,179
BX-157,BX-157,294.46,252.5,20.98,20.98,18.01,3,2.09,3.06,229
BX-158,BX-158,352.04,305.76,23.14,23.14,19.86,3,2.31,4.46,279
BX-159,BX-159,426.72,375.32,25.7,25.7,22.07,3,2.57,6.69,346
BX-160,BX-160,402.59,375.11,23.83,13.74,10.36,3,2.38,3.17,346
BX-161,BX-161,491.41,458.99,28.07,16.21,12.24,3,2.8,5.38,422
BX-162,BX-162,475.49,447.05,14.22,14.22,12.22,1.5,1.42,2.31,422
BX-163,BX-163,556.16,521.42,30.1,17.37,13.11,3,3.01,7.01,476
BX-164,BX-164,570.56,521.38,30.1,24.59,20.32,3,3.01,10.12,476
BX-165,BX-165,624.71,587.73,32.03,18.49,13.97,3,3.2,8.92,540
BX-166,BX-166,640.03,587.75,32.03,26.14,21.62,3,3.2,12.85,540
BX-167,BX-167,759.36,733.14,35.86,13.11,8.03,1.5,3.58,8.66,680
BX-168,BX-168,765.25,733.15,35.86,16.05,10.97,1.5,3.58,10.67,680
BX-169,BX-169,173.51,147.65,15.85,12.93,10.69,1.5,1.58,0.83,130
BX-170,BX-170,218.03,189.59,14.22,14.22,12.22,1.5,1.42,1.04,168
BX-171,BX-171,267.44,239,14.22,14.22,12.22,1.5,1.42,1.28,218
BX-172,BX-172,333.07,304.63,14.22,14.22,12.22,1.5,1.42,1.61,283
BX-303,BX-303,852.75,818.81,37.95,16.97,11.61,1.5,3.79,13.31,762
