9,2,3,4,5,6,7,8,9
R no,R no,P-pitch dia,A-width,B-height oval,H-height oct,C-oct width,R1,wtkg
R-66,R-66,469.9,15.88,22.4,20.6,10.49,1.5,5.407
R-67,R-67,469.9,28.58,36.6,35.1,19.81,2.3,5.407
R-68,R-68,517.53,7.95,14.2,12.7,5.23,1.5,6.559
R-69,R-69,533.4,11.13,17.5,16,7.75,1.5,6.968
R-70,R-70,533.4,19.05,25.4,23.9,12.32,1.5,6.968
R-71,R-71,533.4,28.58,36.6,35.1,19.81,2.3,6.968
R-72,R-72,558.8,7.95,14.2,12.7,5.23,1.5,7.647
R-73,R-73,584.2,12.7,19.1,17.5,8.66,1.5,8.358
R-74,R-74,584.2,19.05,25.4,23.9,12.32,1.5,8.358
R-75,R-75,584.2,31.75,39.6,38.1,22.33,2.3,8.358
R-76,R-76,673.1,7.95,14.2,12.7,5.23,1.5,11.096
R-77,R-77,692.15,15.88,22.4,20.6,10.49,1.5,11.733
R-78,R-78,692.15,25.4,33.3,31.8,17.3,2.3,11.733
R-79,R-79,692.15,34.93,44.5,41.4,24.82,2.3,11.733
R-80,R-80,615.95,7.95,N/A,12.7,5.23,1.5,9.292
R-81,R-81,635,14.3,N/A,19.1,9.58,1.5,9.875
R-82,R-82,57.15,11.13,N/A,16,7.75,1.5,0.079
R-84,R-84,63.5,11.13,N/A,16,7.75,1.5,0.098
R-85,R-85,79.38,12.7,N/A,17.5,8.66,1.5,0.154
R-86,R-86,90.5,15.88,N/A,20.6,10.49,1.5,0.2
R-87,R-87,100.03,15.88,N/A,20.6,10.49,1.5,0.245
R-88,R-88,123.83,19.05,N/A,23.9,12.32,1.5,0.375
R-89,R-89,114.3,19.05,N/A,23.9,12.32,1.5,0.319
R-90,R-90,155.58,22.23,N/A,26.9,14.81,1.5,0.592
R-91,R-91,260.35,31.75,N/A,38.1,22.33,2.3,1.66
R-92,R-92,228.6,11.13,17.5,16,7.75,1.5,1.279
R-93,R-93,749.3,19.05,N/A,23.9,12.32,1.5,13.751
R-94,R-94,800.1,19.05,N/A,23.9,12.32,1.5,15.678
R-95,R-95,857.25,19.05,N/A,23.9,12.32,1.5,17.998
R-96,R-96,914.4,22.23,N/A,26.9,14.81,1.5,20.478
R-97,R-97,965.2,22.23,N/A,26.9,14.81,1.5,22.817
R-98,R-98,1022.35,22.23,N/A,26.9,14.81,1.5,25.599
R-99,R-99,234.95,11.13,N/A,16,7.75,1.5,1.351
R-100,R-100,749.3,28.58,N/A,35.1,19.81,2.3,13.751
R-101,R-101,800.1,31.75,N/A,38.1,22.33,2.3,15.678
R-102,R-102,857.25,31.75,N/A,38.1,22.33,2.3,17.998
R-103,R-103,914.4,31.75,N/A,38.1,22.33,2.3,20.478
R-104,R-104,965.2,34.93,N/A,41.4,24.82,2.3,22.817
R-105,R-105,1022.35,34.93,N/A,41.4,24.82,2.3,25.599
