49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,34.25,2.63,26.62,26,85.725,0,4.69,0,29.5,0.06,,,,,,26,31.75,24,1+1/4,,8.75,0,1+3/8,33,136,106,318,600,26,666.75,6.35,0,2.63,0,0,0,0,47.25540502,21.66569856,,0,641.4,9.5,holes,dia,37.5*,23*
28,700,36.5,2.75,28.62,28,61.9125,0,4.88,0,31.5,0.06,,,,,,28,34,28,1+1/4,,9.25,0,1+3/8,33,156,126,377,711,28,717.55,6.35,0,2.75,0,0,0,0,56.33,25.27664832,,0,692.2,9.5,holes,dia,37.5*,23*
30,750,38.75,2.88,30.75,30,88.9,0,5.32,0,33.75,0.06,,,,,,30,36,28,1+1/4,,9.5,0,1+3/8,33,181,140,445,762,30,768.35,6.35,0,2.88,0,0,0,0,57.93,25.27664832,,0,743,9.5,holes,dia,37.5*,23*
32,800,41.75,3.13,32.75,32,92.075,0,5.63,0,36,0.06,,,,,,32,38.5,28,1+1/2,,10.5,0,1+5/8,39,229,168,561,813,32,819.15,7.9375,0,3.13,0,0,0,0,95.81,41.72261184,,0,793.8,9.5,holes,dia,37.5*,23*
34,850,43.75,3.19,34.75,34,93.6625,0,5.82,0,38,0.06,,,,,,34,40.5,32,1+1/2,,10.5,0,1+5/8,39,244,179,627,854,34,869.95,7.9375,0,3.19,0,0,0,0,110.84,47.68298496,,0,844.6,9.5,holes,dia,37.5*,23*
36,900,46,3.5,36.75,36,95.25,0,6.13,0,40.25,0.06,,,,,,36,42.75,32,1+1/2,,11.25,0,1+5/8,39,290,205,760,914,36,920.75,7.9375,0,3.5,0,0,0,0,114.87,47.68298496,,0,895.4,9.5,holes,dia,37.5*,23*
38,950,48.75,3.38,39,38,95.25,0,6.13,0,42.25,0.06,,,,,,38,45.25,32,1+1/2,,11.25,0,1+5/8,39,326,230,825,,38,971.55,9.525,0,3.38,0,0,0,0,113.53,,,0,946.2,9.5,holes,dia,37.5*,23*
40,1000,50.75,3.5,41,40,98.425,0,6.38,0,44.25,0.06,,,,,,40,47.25,36,1+1/2,,11.25,0,1+5/8,39,351,270,925,1016,40,1022.35,9.525,0,3.5,0,0,0,0,129.23,,,0,997,9.5,holes,dia,37.5*,23*
42,1050,53,3.75,43,42,101.6,0,6.69,0,47,0.06,,,,,,42,49.5,36,1+1/2,,11.5,0,1+5/8,39,403,310,1080,1067,42,1073.15,9.525,0,3.75,0,0,0,0,133.73,,,0,1047.8,9.5,holes,dia,37.5*,23*
44,1100,55.25,3.94,45,44,101.6,0,6.94,0,49,0.06,,,,,,44,51.75,40,1+1/2,,12.25,0,1+5/8,39,449,340,1232,,44,1123.95,11.1125,0,3.94,0,0,0,0,150.28,,,0,1098.6,9.5,holes,dia,37.5*,23*
46,1150,57.25,4,47.12,46,103.1875,0,7.25,0,51,0.06,,,,,,46,53.75,40,1+1/2,,12.25,0,1+5/8,39,480,375,1343,,46,1174.75,11.1125,0,4,0,0,0,0,151.95,,,0,1149.4,9.5,holes,dia,37.5*,23*
48,1200,59.5,4.19,49.12,48,107.95,0,7.5,0,53.5,0.06,,,,,,48,56,44,1+1/2,,12.75,0,1+5/8,39,537,426,1518,1219,48,1225.55,11.1125,0,4.19,0,0,0,0,170.85,,,0,1200.2,9.5,holes,dia,37.5*,23*
50,1250,61.75,4.32,51.25,50,,,7.94,,55.5,0.06,,,,,,50,58.25,44,1+3/4,,13.25,0,1+7/8,45,576,,1685,,,,,,4.32,,,,,254.84,,,0,1251,9.5,holes,dia,37.5*,23*
52,1300,64,4.5,53.25,52,,,8.19,,57.5,0.06,,,,,,52,60.5,44,1+3/4,,14,0,1+7/8,45,639,,1885,,,,,,4.5,,,,,259.86,,,0,1301.8,9.5,holes,dia,37.5*,23*
54,1350,66.25,4.69,55.25,54,,,8.44,,59.5,0.06,,,,,,54,62.75,44,1+3/4,,14,0,1+7/8,45,718,,2104,,,,,,4.69,,,,,264.83,,,0,1352.6,9.5,holes,dia,37.5*,23*
56,1400,68.75,4.82,57.38,56,,,8.94,,62,0.06,,,,,,56,65,48,1+3/4,,14.25,0,1+7/8,45,798,,2327,,,,,,4.82,,,,,294.38,,,0,1403.4,9.5,holes,dia,37.5*,23*
58,1450,71,5,59.38,58,,,9.19,,64,0.06,,,,,,58,67.25,48,1+3/4,,15,0,1+7/8,45,868,,2574,,,,,,5,,,,,297.12,,,0,1454.2,9.5,holes,dia,37.5*,23*
60,1500,73,5.13,61.38,60,,,9.38,,66,0.06,,,,,,60,69.25,52,1+3/4,,15,0,1+7/8,45,927,,2791,,,,,,5.13,,,,,327.8,,,0,1505,9.5,holes,dia,37.5*,23*
