49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height/depth,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,970,77.8,721,660.4,184.15,0,183,0,749.3,2,810,12.7,R93,6.35,,26,876.3,28,1+5/8,,275,285,1+3/4,42,274,255,488,600,26,,,,82.6,749.3,12.7,19.84,1.5,111.6295036,174.47724,,0,641.4,9.5,holes,dia,37.5*,23*
28,700,1035,84.2,775,711.2,196.85,0,195,0,800.1,2,861,12.7,R94,6.35,,28,939.8,28,1+5/8,,285,300,1+3/4,42,337,321,596,711,28,,,,88.9,800.1,12.7,19.84,1.5,124.57,127.34,,0,692.2,9.5,holes,dia,37.5*,23*
30,750,1090,90.5,827,762,209.55,0,208,0,857.25,2,917,12.7,R95,6.35,,30,997,28,1+3/4,,305,315,1+7/8,45,394,362,699,762,30,,,,93.7,857.25,12.7,19.84,1.5,152.6,155.79,,0,743,9.5,holes,dia,37.5*,23*
32,800,1150,96.9,881,812.8,222.25,0,221,0,914.4,2,984,14.27,R96,6.35,,32,1054.1,28,1+7/8,,320,330,2,48,455,398,814,813,32,,,,98.5,914.4,14.27,23.01,1.5,184.18,187.79,,0,793.8,9.5,holes,dia,37.5*,23*
34,850,1205,100.1,937,863.6,231.775,0,230,0,965.2,2,1035,14.27,R97,6.35,,34,1104.9,28,1+7/8,,330,340,2,48,519,480,938,854,34,,,,103.2,965.2,14.27,23.01,1.5,187.79,191.4,,0,844.6,9.5,holes,dia,37.5*,23*
36,900,1270,103.2,991,914.4,241.3,0,240,0,1022.35,2,1092,14.27,R98,6.35,,36,1168.4,32,2,,345,365,2+1/8,52,578,540,1104,914,36,,,,109.6,1022.35,14.27,23.01,1.5,269.02,273.95,,0,895.4,9.5,holes,dia,37.5*,23*
38,950,1170,106.4,994,965.2,N/A,0,179,0,1029,2,,,,,,38,1092.2,32,1+1/2,,320,,1+5/8,39,315,305,907,,38,,,,106.4,0,0,0,0,124.25,,,0,946.2,9.5,holes,dia,37.5*,23*
40,1000,1240,112.8,1048,1016,N/A,0,192,0,1086,2,,,,,,40,1155.7,32,1+5/8,,335,,1+3/4,42,381,373,1079,1016,40,,,,112.8,0,0,0,0,156.57,,,0,997,9.5,holes,dia,37.5*,23*
42,1050,1290,117.5,1099,1066.8,257.175,0,198,0,1137,2,,,,,,42,1206.5,32,1+5/8,,350,,1+3/4,42,430,407,1219,1067,42,,,,117.5,0,0,0,0,159.74,,,0,1047.8,9.5,holes,dia,37.5*,23*
44,1100,1355,122.3,1149,1117.6,0,0,205,0,1194,2,,,,,,44,1263.6,32,1+3/4,,360,,1+7/8,45,478,470,1396,,44,,,,122.3,0,0,0,0,194.43,,,0,1098.6,9.5,holes,dia,37.5*,23*
46,1150,1415,127,1203,1168.4,0,0,214,0,1245,2,,,,,,46,1320.8,28,1+7/8,,380,,2,48,560,537,1587,,46,,,,127,0,0,0,0,205.88,,,0,1149.4,9.5,holes,dia,37.5*,23*
48,1200,1465,131.8,1254,1219.2,0,0,222,0,1302,2,,,,,,48,1371.6,32,1+7/8,,385,,2,48,625,580,1767,1219,48,,,,131.8,0,0,0,0,239.45,,,0,1200.2,9.5,holes,dia,37.5*,23*
50,1250,1530,138.2,1305,1270,,,230,,1359,2,,,,,,50,1428.8,32,2,,405,,2+1/8,52,693,,2014,,50,,,,138.2,,,,,296.12,,,0,1251,9.5,holes,dia,37.5*,23*
52,1300,1580,142.9,1356,1320.8,,,237,,1410,2,,,,,,52,1479.6,32,2,,420,,2+1/8,52,752,,2225,,52,,,,142.9,,,,,301.05,,,0,1301.8,9.5,holes,dia,37.5*,23*
54,1350,1660,150.9,1410,1371.6,,,251,,1467,2,,,,,,54,1549.4,28,2+1/4,,445,,2+3/8,56,929,,2578,,54,,,,150.9,,,,,319.36,,,0,1352.6,9.5,holes,dia,37.5*,23*
56,1400,1710,152.4,1464,1422.4,,,259,,1518,2,,,,,,56,1600.2,28,2+1/4,,450,,2+3/8,56,977,,2766,,56,,,,152.4,,,,,319.36,,,0,1403.4,9.5,holes,dia,37.5*,23*
58,1450,1760,157.2,1514,1473.2,,,265,,1575,2,,,,,,58,1651,32,2+1/4,,455,,2+3/8,56,1029,,3025,,58,,,,157.2,,,,,370.59,,,0,1454.2,9.5,holes,dia,37.5*,23*
60,1500,1810,162,1565,1524,,,271,,1626,2,,,,,,60,1701.8,32,2+1/4,,470,,2+3/8,56,1120,,3299,,60,,,,162,,,,,376.19,,,0,1505,9.5,holes,dia,37.5*,23*
