49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,1085,139.7,775,660.4,0,0,286,0,749,7,832,17.48,R100,6.35,0,26,952.5,20,2+3/4,,475,525,2+7/8,72,691,647,1163,600,26,0,0,0,160.4,749.3,17.48,30.18,2.3,414.784952,489.2748,,,635,12.7,holes,dia,37.5*,23*
28,700,1170,142.9,832,711.2,0,0,298,0,800,7,889,17.48,R101,6.35,0,28,1022.4,20,3,,500,560,3+1/8,76,821,764,1441,711,28,0,0,0,171.5,800.1,17.48,33.32,2.3,517.59,524.39,,,685.8,12.7,holes,dia,37.5*,23*
30,750,1230,149.3,889,762,0,0,311,0,857,7,946,17.48,R102,6.35,0,30,1085.8,20,3,,520,585,3+1/8,76,961,872,1704,762,30,0,0,0,182.6,857.25,17.48,33.32,2.3,534.39,541,,,736.6,12.7,holes,dia,37.5*,23*
32,800,1315,158.8,946,812.8,0,0,330,0,914,7,1003,17.48,R103,6.35,0,32,1155.7,20,3+1/4,,560,615,3+3/8,80,1154,1056,2059,813,32,0,0,0,193.7,914.4,17.48,33.32,2.3,606.4,613.59,,,787.4,12.7,holes,dia,37.5*,23*
34,850,1395,165.1,1006,863.6,0,0,349,0,965,7,1067,20.62,R104,6.35,0,34,1225.6,20,3+1/2,,585,665,3+5/8,90,1347,1242,2460,854,34,0,0,0,204.8,965.2,20.62,36.53,2.3,845,854.2,,,838.2,12.7,holes,dia,37.5*,23*
36,900,1460,171.5,1064,914.4,0,0,362,0,1022,7,1124,20.62,R105,6.35,0,36,1289,20,3+1/2,,605,685,3+5/8,90,1539,1388,2816,914,36,0,0,0,214.4,1022.35,20.62,36.53,2.3,863.4,872.6,,,889,12.7,holes,dia,37.5*,23*
38,950,1460,190.5,1073,965.2,0,0,352,0,1099,7,,0,,0,0,38,1289,20,3+1/2,,620,,3+5/8,90,1535,1435,2836,,38,0,0,0,215.9,0,0,0,0,863.4,,,,939.8,12.7,holes,dia,37.5*,23*
40,1000,1510,196.9,1127,1016,0,0,364,0,1162,7,,0,,0,0,40,1339.8,24,3+1/2,,635,,3+5/8,90,1642,1547,3147,1016,40,0,0,0,223.9,0,0,0,0,1052.63,,,,990.6,12.7,holes,dia,37.5*,23*
42,1050,1560,206.4,1176,1066.8,0,0,371,0,1213,7,,0,,,,42,1390.6,24,3+1/2,,655,,3+5/8,90,1796,1688,3481,1067,42,0,0,0,231.8,0,0,0,0,1074.72,,,,1041.4,12.7,holes,dia,37.5*,23*
44,1100,1650,214.4,1235,1117.6,0,0,391,0,1270,7,,0,,,,44,1463.7,24,3+3/4,,685,,3+7/8,95,1950,1976,4061,,44,0,0,0,242.9,0,0,0,0,1245.83,,,,1092.2,12.7,holes,dia,37.5*,23*
46,1150,1735,225.5,1292,1168.4,0,0,411,0,1334,7,,0,,,,46,1536.7,24,4,,725,,4+1/8,100,2104,2324,4729,,46,0,0,0,255.6,0,0,0,0,1489.14,,,,1143,12.7,holes,dia,37.5*,23*
48,1200,1785,233.4,1343,1219.2,0,0,419,0,1384,7,,0,,,,48,1587.5,24,4,,735,,4+1/8,100,2258,2491,5170,1219,48,0,0,0,263.6,0,0,0,0,1510.03,,,,1193.8,12.7,holes,dia,37.5*,23*
