49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,42.75,5.5,30.5,26,0,0,11.25,0,29.5,0.25,32.75,0.688,R100,0.25,0,26,37.5,20,2+3/4,,18.75,20.75,2+7/8,72,691,647,1163,600,26,0,0,0,6.31,29.5,0.688,1.188,0.09,414.784952,489.2748,,,635,12.7,holes,dia,37.5*,23*
28,700,46,5.62,32.75,28,0,0,11.75,0,31.5,0.25,35,0.688,R101,0.25,0,28,40.25,20,3,,19.75,22.25,3+1/8,76,821,764,1441,711,28,0,0,0,6.75,31.5,0.688,1.312,0.09,517.59,524.39,,,685.8,12.7,holes,dia,37.5*,23*
30,750,48.5,5.88,35,30,0,0,12.25,0,33.75,0.25,37.25,0.688,R102,0.25,0,30,42.75,20,3,,20.5,23.25,3+1/8,76,961,872,1704,762,30,0,0,0,7.18,33.75,0.688,1.312,0.09,534.39,541,,,736.6,12.7,holes,dia,37.5*,23*
32,800,51.75,6.25,37.25,32,0,0,13,0,36,0.25,39.5,0.688,R103,0.25,0,32,45.5,20,3+1/4,,22.25,24.25,3+3/8,80,1154,1056,2059,813,32,0,0,0,7.62,36,0.688,1.312,0.09,606.4,613.59,,,787.4,12.7,holes,dia,37.5*,23*
34,850,55,6.5,39.62,34,0,0,13.75,0,38,0.25,42,0.812,R104,0.25,0,34,48.25,20,3+1/2,,23.25,26.25,3+5/8,90,1347,1242,2460,854,34,0,0,0,8.06,38,0.812,1.438,0.09,845,854.2,,,838.2,12.7,holes,dia,37.5*,23*
36,900,57.5,6.75,41.88,36,0,0,14.25,0,40.25,0.25,44.25,0.812,R105,0.25,0,36,50.75,20,3+1/2,,24,27,3+5/8,90,1539,1388,2816,914,36,0,0,0,8.44,40.25,0.812,1.438,0.09,863.4,872.6,,,889,12.7,holes,dia,37.5*,23*
38,950,57.5,7.5,42.25,38,0,0,13.88,0,43.25,0.25,,0,,0,0,38,50.75,20,3+1/2,,24.5,0,3+5/8,90,1535,1435,2836,,38,0,0,0,8.5,0,0,0,0,863.4,,,,939.8,12.7,holes,dia,37.5*,23*
40,1000,59.5,7.75,44.38,40,0,0,14.31,0,45.75,0.25,,0,,0,0,40,52.75,24,3+1/2,,25,0,3+5/8,90,1642,1547,3147,1016,40,0,0,0,8.81,0,0,0,0,1052.63,,,,990.6,12.7,holes,dia,37.5*,23*
42,1050,61.5,8.12,46.31,42,0,0,14.62,0,47.75,0.25,,0,,,,42,54.75,24,3+1/2,,26,0,3+5/8,90,1796,1688,3481,1067,42,0,0,0,9.12,0,0,0,0,1074.72,,,,1041.4,12.7,holes,dia,37.5*,23*
44,1100,64.88,8.44,48.62,44,0,0,15.38,0,50,0.25,,0,,,,44,57.62,24,3+3/4,,27,0,3+7/8,95,1950,1976,4061,,44,0,0,0,9.56,0,0,0,0,1245.83,,,,1092.2,12.7,holes,dia,37.5*,23*
46,1150,68.25,8.88,50.88,46,0,0,16.18,0,52.5,0.25,,0,,,,46,60.5,24,4,,28.75,0,4+1/8,100,2104,2324,4729,,46,0,0,0,10.06,0,0,0,0,1489.14,,,,1143,12.7,holes,dia,37.5*,23*
48,1200,70.25,9.19,52.88,48,0,0,16.5,0,54.5,0.25,,0,,,,48,62.5,24,4,,29,0,4+1/8,100,2258,2491,5170,1219,48,0,0,0,10.38,0,0,0,0,1510.03,,,,1193.8,12.7,holes,dia,37.5*,23*
