49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,970,88.9,727,660.4,0,0,194,0,749,7,810,12.7,R93,6.35,N/A,26,876.3,28,1+3/4,,315,325,1+7/8,45,565,295,565,,26,0,666.75,0,98.5,749.3,12.7,19.84,1.5,127.8665223,215.5320115,,0,635,12.7,holes,dia,37.5*,23*
28,700,1035,95.3,783,711.2,0,0,206,0,800,7,861,12.7,R94,6.35,N/A,28,939.8,28,1+7/8,,330,340,2,48,715,354,715,,28,0,717.55,0,104.8,800.1,12.7,19.84,1.5,133.9554043,272.4450893,,0,685.8,12.7,holes,dia,37.5*,23*
30,750,1090,101.6,837,762,0,0,219,0,857,7,917,12.7,R95,6.35,N/A,30,997,28,2,,350,360,2+1/8,52,830,408,830,,30,0,768.35,0,111.2,857.25,12.7,19.84,1.5,163.095054,279.5771597,,0,736.6,12.7,holes,dia,37.5*,23*
32,800,1150,108,889,812.8,0,0,232,0,914,7,984,14.27,R96,6.35,N/A,32,1054.1,28,2,,365,375,2+1/8,52,955,465,955,,32,0,819.15,0,115.9,914.4,14.27,23.01,1.5,193.5187535,286.7092301,,0,787.4,12.7,holes,dia,37.5*,23*
34,850,1205,111.2,945,863.6,0,0,241,0,965,7,1035,14.27,R97,6.35,N/A,34,1104.9,28,2,,380,390,2+1/8,52,1120,522,1120,,34,0,869.15625,0,122.3,965.2,14.27,23.01,1.5,201.471579,289.0865869,,0,838.2,12.7,holes,dia,37.5*,23*
36,900,1270,114.3,1000,914.4,0,0,251,0,1022,7,1092,14.27,R98,6.35,N/A,36,1168.4,32,2,,405,415,2+1/8,52,1290,601,1290,,36,0,920.75,0,128.6,1022.35,14.27,23.01,1.5,288.0058945,333.1016499,,0,889,12.7,holes,dia,37.5*,23*
38,950,1205,123.9,1003,965.2,0,0,206,0,1035,7,,,,,0,38,1117.6,32,1+3/4,,360,,1+7/8,45,1165,419,1165,,38,0,0,0,123.9,0,0,0,,144.0029472,,,0,939.8,12.7,holes,dia,37.5*,23*
40,1000,1270,130.2,1054,1016,0,0,216,0,1092,7,,,,,0,40,1174.8,32,1+7/8,,380,,2,48,1350,487,1350,,40,0,0,0,130.2,0,0,0,,176.2876317,,,0,990.6,12.7,holes,dia,37.5*,23*
42,1050,1320,133.4,1108,1066.8,0,0,224,0,1143,7,,,,,,42,1225.6,32,1+7/8,,385,,2,48,1503,524,1503,,42,0,0,0,133.4,0,0,0,,178.6072058,,,0,1041.4,12.7,holes,dia,37.5*,23*
44,1100,1385,139.7,1159,1117.6,0,0,233,0,1200,7,,,,,,44,1282.7,32,2,,405,,2+1/8,52,1723,604,1723,,44,0,0,0,139.7,0,0,0,,215.6848877,,,0,1092.2,12.7,holes,dia,37.5*,23*
46,1150,1440,146.1,1213,1168.4,0,0,244,0,1257,7,,,,,,46,1339.8,36,2,,425,,2+1/8,52,1942,675,1942,,46,0,0,0,146.1,0,0,0,,225.3300555,,,0,1143,12.7,holes,dia,37.5*,23*
48,1200,1510,152.4,1267,1219.2,0,0,257,0,1308,7,,,,,,48,1403.4,28,2+1/4,,440,,2+3/8,56,2234,787,2234,,48,0,0,0,152.4,0,0,0,,266.6090068,,,0,1193.8,12.7,holes,dia,37.5*,23*
50,1250,1570,157.2,1321,1270,,,268,,1362,7,,,,,,50,1460.5,32,2+1/4,,465,,2+3/8,56,2499,,2499,,50,,,,158.8,,,,,330.6734344,,,0,1244.6,12.7,holes,dia,37.5*,23*
52,1300,1620,162,1372,1320.8,,,276,,1413,7,,,,,,52,1511.3,32,2+1/4,,475,,2+3/8,56,2733,,2733,,52,,,,163.6,,,,,337.784691,,,0,1295.4,12.7,holes,dia,37.5*,23*
54,1350,1700,169.9,1426,1371.6,,,289,,1470,7,,,,,,54,1581.2,28,2+1/2,,500,,2+5/8,64,3152,,3152,,54,,,,171.5,,,,,360.8226379,,,0,1346.2,12.7,holes,dia,37.5*,23*
56,1400,1755,174.7,1480,1422.4,,,298,,1527,7,,,,,,56,1632,32,2+1/2,,510,,2+5/8,64,3460,,3460,,56,,,,176.3,,,,,368.0390907,,,0,1397,12.7,holes,dia,37.5*,23*
58,1450,1805,177.8,1530,1473.2,,,306,,1578,7,,,,,,58,1682.8,32,2+1/2,,515,,2+5/8,64,3740,,3740,,58,,,,181,,,,,424.7397909,,,0,1447.8,12.7,holes,dia,37.5*,23*
60,1500,1885,185.8,1584,1524,,,319,,1635,7,,,,,,60,1752.6,32,2+3/4,,535,,2+7/8,70,4274,,4274,,60,,,,189,,,,,441.2345401,,,0,1498.6,12.7,holes,dia,37.5*,23*
