49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,38.25,3.07,28.38,26,184.15,0,7.19,0,29.5,0.06,31.88,0.5,R93,0.25,,26,34.5,28,1+5/8,,11,11.25,1+3/4,42,274,255,488,600,26,,,,3.25,29.5,0.5,0.781,0.06,111.6295036,174.47724,,0,641.4,9.5,holes,dia,37.5*,23*
28,700,40.75,3.32,30.5,28,196.85,0,7.69,0,31.5,0.06,33.88,0.5,R94,0.25,,28,37,28,1+5/8,,11.25,12,1+3/4,42,337,321,596,711,28,,,,3.5,31.5,0.5,0.781,0.06,124.57,127.34,,0,692.2,9.5,holes,dia,37.5*,23*
30,750,43,3.57,32.56,30,209.55,0,8.19,0,33.75,0.06,36.12,0.5,R95,0.25,,30,39.25,28,1+3/4,,12.25,12.5,1+7/8,45,394,362,699,762,30,,,,3.69,33.75,0.5,0.781,0.06,152.6,155.79,,0,743,9.5,holes,dia,37.5*,23*
32,800,45.25,3.82,34.69,32,222.25,0,8.69,0,36,0.06,38.75,0.562,R96,0.25,,32,41.5,28,1+7/8,,12.75,13,2,48,455,398,814,813,32,,,,3.88,36,0.562,0.906,0.06,184.18,187.79,,0,793.8,9.5,holes,dia,37.5*,23*
34,850,47.5,3.94,36.88,34,231.775,0,9.07,0,38,0.06,40.75,0.562,R97,0.25,,34,43.5,28,1+7/8,,13,13.5,2,48,519,480,938,854,34,,,,4.07,38,0.562,0.906,0.06,187.79,191.4,,0,844.6,9.5,holes,dia,37.5*,23*
36,900,50,4.07,39,36,241.3,0,9.44,0,40.25,0.06,43,0.562,R98,0.25,,36,46,32,2,,13.75,14.5,2+1/8,52,578,540,1104,914,36,,,,4.32,40.25,0.562,0.906,0.06,269.02,273.95,,0,895.4,9.5,holes,dia,37.5*,23*
38,950,46,4.19,39.12,38,N/A,0,7.06,0,40.5,0.06,,,,,,38,43,32,1+1/2,,12.75,0,1+5/8,39,315,305,907,,38,,,,4.19,0,0,0,0,124.25,,,0,946.2,9.5,holes,dia,37.5*,23*
40,1000,48.75,4.44,41.25,40,N/A,0,7.56,0,42.75,0.06,,,,,,40,45.5,32,1+5/8,,13.25,0,1+3/4,42,381,373,1079,1016,40,,,,4.44,0,0,0,0,156.57,,,0,997,9.5,holes,dia,37.5*,23*
42,1050,50.75,4.63,43.25,42,257.175,0,7.82,0,44.75,0.06,,,,,,42,47.5,32,1+5/8,,14,0,1+3/4,42,430,407,1219,1067,42,,,,4.63,0,0,0,0,159.74,,,0,1047.8,9.5,holes,dia,37.5*,23*
44,1100,53.25,4.82,45.25,44,0,0,8.06,0,47,0.06,,,,,,44,49.75,32,1+3/4,,14.25,0,1+7/8,45,478,470,1396,,44,,,,4.82,0,0,0,0,194.43,,,0,1098.6,9.5,holes,dia,37.5*,23*
46,1150,55.75,5,47.38,46,0,0,8.44,0,49,0.06,,,,,,46,52,28,1+7/8,,15,0,2,48,560,537,1587,,46,,,,5,0,0,0,0,205.88,,,0,1149.4,9.5,holes,dia,37.5*,23*
48,1200,57.75,5.19,49.38,48,0,0,8.75,0,51.25,0.06,,,,,,48,54,32,1+7/8,,15.25,0,2,48,625,580,1767,1219,48,,,,5.19,0,0,0,0,239.45,,,0,1200.2,9.5,holes,dia,37.5*,23*
50,1250,60.25,5.44,51.38,50,,,9.07,,53.5,0.06,,,,,,50,56.25,32,2,,16,0,2+1/8,52,693,,2014,,50,,,,5.44,,,,,296.12,,,0,1251,9.5,holes,dia,37.5*,23*
52,1300,62.25,5.63,53.38,52,,,9.32,,55.5,0.06,,,,,,52,58.25,32,2,,16.75,0,2+1/8,52,752,,2225,,52,,,,5.63,,,,,301.05,,,0,1301.8,9.5,holes,dia,37.5*,23*
54,1350,65.25,5.94,55.5,54,,,9.88,,57.75,0.06,,,,,,54,61,28,2+1/4,,17.75,0,2+3/8,56,929,,2578,,54,,,,5.94,,,,,319.36,,,0,1352.6,9.5,holes,dia,37.5*,23*
56,1400,67.25,6,57.62,56,,,10.19,,59.75,0.06,,,,,,56,63,28,2+1/4,,17.75,0,2+3/8,56,977,,2766,,56,,,,6,,,,,319.36,,,0,1403.4,9.5,holes,dia,37.5*,23*
58,1450,69.25,6.19,59.62,58,,,10.44,,62,0.06,,,,,,58,65,32,2+1/4,,18,0,2+3/8,56,1029,,3025,,58,,,,6.19,,,,,370.59,,,0,1454.2,9.5,holes,dia,37.5*,23*
60,1500,71.25,6.38,61.62,60,,,10.69,,64,0.06,,,,,,60,67,32,2+1/4,,18.75,0,2+3/8,56,1120,,3299,,60,,,,6.38,,,,,376.19,,,0,1505,9.5,holes,dia,37.5*,23*
