49,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,ID,wallthk,holes,dia,37.5*,23*
26,650,38.25,3.5,28.62,26,0,0,7.62,0,29.5,0.25,31.88,0.5,R93,0.25,N/A,26,34.5,28,1+3/4,,12.5,13,1+7/8,45,565,295,565,,26,0,666.75,0,3.88,29.5,0.5,0.781,0.06,127.8665223,215.5320115,,0,635,12.7,holes,dia,37.5*,23*
28,700,40.75,3.75,30.81,28,0,0,8.12,0,31.5,0.25,33.88,0.5,R94,0.25,N/A,28,37,28,1+7/8,,13,13.5,2,48,715,354,715,,28,0,717.55,0,4.12,31.5,0.5,0.781,0.06,133.9554043,272.4450893,,0,685.8,12.7,holes,dia,37.5*,23*
30,750,43,4,32.94,30,0,0,8.62,0,33.75,0.25,36.12,0.5,R95,0.25,N/A,30,39.25,28,2,,14,14.25,2+1/8,52,830,408,830,,30,0,768.35,0,4.38,33.75,0.5,0.781,0.06,163.095054,279.5771597,,0,736.6,12.7,holes,dia,37.5*,23*
32,800,45.25,4.25,35,32,0,0,9.12,0,36,0.25,38.75,0.562,R96,0.25,N/A,32,41.5,28,2,,14.5,15,2+1/8,52,955,465,955,,32,0,819.15,0,4.56,36,0.562,0.906,0.06,193.5187535,286.7092301,,0,787.4,12.7,holes,dia,37.5*,23*
34,850,47.5,4.38,37.19,34,0,0,9.5,0,38,0.25,40.75,0.562,R97,0.25,N/A,34,43.5,28,2,,15,15.5,2+1/8,52,1120,522,1120,,34,0,869.15625,0,4.81,38,0.562,0.906,0.06,201.471579,289.0865869,,0,838.2,12.7,holes,dia,37.5*,23*
36,900,50,4.5,39.38,36,0,0,9.88,0,40.25,0.25,43,0.562,R98,0.25,N/A,36,46,32,2,,16,16.5,2+1/8,52,1290,601,1290,,36,0,920.75,0,5.06,40.25,0.562,0.906,0.06,288.0058945,333.1016499,,0,889,12.7,holes,dia,37.5*,23*
38,950,47.5,4.88,39.5,38,0,0,8.12,0,40.75,0.25,,,,,0,38,44,32,1+3/4,,14.25,0,1+7/8,45,1165,419,1165,,38,0,0,0,4.88,0,0,0,,144.0029472,,,0,939.8,12.7,holes,dia,37.5*,23*
40,1000,50,5.12,41.5,40,0,0,8.5,0,43,0.25,,,,,0,40,46.25,32,1+7/8,,15,0,2,48,1350,487,1350,,40,0,0,0,5.12,0,0,0,,176.2876317,,,0,990.6,12.7,holes,dia,37.5*,23*
42,1050,52,5.25,43.62,42,0,0,8.81,0,45,0.25,,,,,,42,48.25,32,1+7/8,,15.25,0,2,48,1503,524,1503,,42,0,0,0,5.25,0,0,0,,178.6072058,,,0,1041.4,12.7,holes,dia,37.5*,23*
44,1100,54.5,5.5,45.62,44,0,0,9.18,0,47.25,0.25,,,,,,44,50.5,32,2,,16,0,2+1/8,52,1723,604,1723,,44,0,0,0,5.5,0,0,0,,215.6848877,,,0,1092.2,12.7,holes,dia,37.5*,23*
46,1150,56.75,5.75,47.75,46,0,0,9.62,0,49.5,0.25,,,,,,46,52.75,36,2,,16.75,0,2+1/8,52,1942,675,1942,,46,0,0,0,5.75,0,0,0,,225.3300555,,,0,1143,12.7,holes,dia,37.5*,23*
48,1200,59.5,6,49.88,48,0,0,10.12,0,51.5,0.25,,,,,,48,55.25,28,2+1/4,,17.5,0,2+3/8,56,2234,787,2234,,48,0,0,0,6,0,0,0,,266.6090068,,,0,1193.8,12.7,holes,dia,37.5*,23*
50,1250,61.75,6.19,52,50,,,10.56,,53.62,0.25,,,,,,50,57.5,32,2+1/4,,18.5,0,2+3/8,56,2499,,2499,,50,,,,6.25,,,,,330.6734344,,,0,1244.6,12.7,holes,dia,37.5*,23*
52,1300,63.75,6.38,54,52,,,10.88,,55.62,0.25,,,,,,52,59.5,32,2+1/4,,18.75,0,2+3/8,56,2733,,2733,,52,,,,6.44,,,,,337.784691,,,0,1295.4,12.7,holes,dia,37.5*,23*
54,1350,67,6.69,56.12,54,,,11.38,,57.88,0.25,,,,,,54,62.25,28,2+1/2,,19.75,0,2+5/8,64,3152,,3152,,54,,,,6.75,,,,,360.8226379,,,0,1346.2,12.7,holes,dia,37.5*,23*
56,1400,69,6.88,58.25,56,,,11.75,,60.12,0.25,,,,,,56,64.25,32,2+1/2,,20.25,0,2+5/8,64,3460,,3460,,56,,,,6.94,,,,,368.0390907,,,0,1397,12.7,holes,dia,37.5*,23*
58,1450,71,7,60.25,58,,,12.06,,62.12,0.25,,,,,,58,66.25,32,2+1/2,,20.5,0,2+5/8,64,3740,,3740,,58,,,,7.12,,,,,424.7397909,,,0,1447.8,12.7,holes,dia,37.5*,23*
60,1500,74.25,7.31,62.38,60,,,12.56,,64.38,0.25,,,,,,60,69,32,2+3/4,,21.25,0,2+7/8,70,4274,,4274,,60,,,,7.44,,,,,441.2345401,,,0,1498.6,12.7,holes,dia,37.5*,23*
