23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nom -Size,Nom -Size,Sch,O/D A,Bore B,G-Range Connection,Length L,Clearance R,M,Bolt G,Weight Kg,Bore H,O/D J,Rib K,C,D,E,F,Buttweld L2,Blind L3,Nozzle L4,H Bolt Spacing,G Bolt Spacing
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0+1/2,15,160,21.3,11.8,G1-4,92.1,66.7,58.7,1/2 inch UNC,2.1,12.7,25.4,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
0+3/4,20,160,26.7,15.6,G1-5,92.1,66.7,58.7,1/2 inch UNC,2.08,15.9,27.8,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1,25,160,33.4,20.7,G1-7,92.1,66.7,58.7,1/2 inch UNC,2.06,23,34.9,3.18,50.8,38.1,7.9,5.6,44.4,44.4,228.6,31.8,81
1+1/2,40,160,48.3,33.9,G1+1/2-14,127,102,79.4,5/8 inch UNC,6.12,40.9,66.7,6.3,79.4,60.3,11.1,11.1,60.3,54,228.6,31.8,81
2,50,160,60.3,42.9,G2-16,146,114,89,3/4 inch UNC,8.59,47.5,68.3,6.3,92.1,73,11.1,12.7,69.8,50.8,228.6,46.1,146.1
2+1/2,65,160,73,54,G3-20,171.5,133.3,89,3/4 inch UNC,15.33,52.4,82.5,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
3,80,160,88.9,66.7,G3-25,171.5,133.3,89,3/4 inch UNC,14.8,67.9,101.6,6.3,127,101.6,12.7,12.7,82.5,63.5,228.6,46.1,190.5
4,100,160,114,87.3,G4-34,190.5,152.4,96.9,7/8 inch UNC,22.6,93.7,127,6.3,152.4,127,12.7,12.7,92.1,73,304.8,52.4,215.9
5,130,160,141.3,109.6,G5-46,228.6,187.3,112.7,1 inch UNC,36.92,120.5,157.2,6.3,190.5,165.1,15.9,17.5,111.1,73,304.8,58.8,260.4
6,150,160,168.3,131.8,G6-52,241.3,222.2,122.3,1.125 inch 8UN,58.76,134.9,168.3,6.3,234.9,196.8,20.6,17.5,117.5,88.9,304.8,61.9,320.7
8,200,160,219.1,173.1,G8-72,282.6,250.8,149.2,1.25 inch 8UN,94.2,184.1,241.3,9.5,292.1,254,19,22.2,136.5,88.9,304.8,73,387.4
10,250,160,273.1,215.9,G10-84,314.3,320.7,171.4,1.625 inch 8UN,182.2,215.9,282.6,9.5,346,295.3,31.7,22.2,152.4,108,355.6,88.9,482.6
12,300,160,323.8,257.2,G12-102,346,368.3,184.1,1.75 inch 8UN,224,260.4,304.8,9.5,406,355.6,34.9,22.2,168.3,133.3,355.6,95.3,552.5
14,350,160,355.6,284.2,GZ14-112R,368.3,361.9,187.3,1.625 inch 8UN,275,258.7,358.8,15.9,438.1,400,25.4,28.6,184.1,139.7,0,92.1,565.2
16,400,160,406.4,325.5,GZ16-130R,406.4,374.9,196.8,1.875 inch 8UN,381,330.2,381,12.7,495.3,457.2,25.4,25.4,203.2,165.1,0,101.6,638.2
