"20","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Nom -Size","Sch","O/D A","Bore B","G-Range Connection","Length L","Clearance R","M","Bolt G","Weight Kg","Bore H","O/D J","Rib K","C","D","E","F","Buttweld L2","Blind L3","Nozzle L4"
"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"4","160","114","87.3","G4-34","190.5","152.4","96.9","7/8 UNC","22.6","93.7","127","6.3","152.4","127","12.7","12.7","92.1","73","304.8"
"4","XXS","114","80.1","G4-31","190.5","152.4","96.9","7/8 UNC","24.2","82.5","114.3","6.3","152.4","127","12.7","12.7","92.1","73","304.8"
"4","x","114","","G4-27","190.5","152.4","96.9","7/8 UNC","24.6","77.8","107.9","6.3","152.4","127","12.7","12.7","92.1","73","304.8"
"4","x","114","","G4-25","190.5","152.4","96.9","7/8 UNC","25.7","67.9","101.6","6.3","152.4","127","12.7","12.7","92.1","73","304.8"
"5","40","141.3","128.3","G5-52","228.6","187.3","112.7","1 UNC","31.82","134.9","168.3","6.3","190.5","165.1","15.9","17.5","111.1","73","304.8"
"5","80","141.3","122.3","G5-52","228.6","187.3","112.7","1 UNC","33.24","134.9","168.3","6.3","190.5","165.1","15.9","17.5","111.1","73","304.8"
"5","160","141.3","109.6","G5-46","228.6","187.3","112.7","1 UNC","36.92","120.5","157.2","6.3","190.5","165.1","15.9","17.5","111.1","73","304.8"
"5","XXS","141.3","103.2","G5-40","228.6","187.3","112.7","1 UNC","39.12","103","139.7","6.3","190.5","165.1","15.9","17.5","111.1","88.9","304.8"
"5","x","141.3","","G5-34","228.6","187.3","112.7","1 UNC","41.26","93.7","127","6.3","190.5","165.1","15.9","12.7","111.1","88.9","304.8"
"5","x","141.3","","G5-31","228.6","187.3","112.7","1 UNC","43.72","82.5","114.3","6.3","190.5","165.1","15.9","12.7","111.1","88.9","304.8"
"6","40","168.3","154","G6-62","244.5","222.2","122.3","1 1/8 8UN","50.56","154","200","9.5","234.9","196.8","19","20.6","117.5","73","304.8"
"6","80","168.3","146.3","G6-62","244.5","222.2","122.3","1 1/8 8UN","52.7","154","200","9.5","234.9","196.8","19","20.6","117.5","73","304.8"
"6","120","168.3","139.7","G6-54","241.3","222.2","122.3","1 1/8 8UN","","139.7","173.1","6.3","234.9","196.8","20.6","17.5","117.5","88.9","304.8"
"6","160","168.3","131.8","G6-52","241.3","222.2","122.3","1 1/8 8UN","58.76","134.9","168.3","6.3","234.9","196.8","20.6","17.5","117.5","88.9","304.8"
"6","XXS","168.3","124.4","G6-52","241.3","222.2","122.3","1 1/8 8UN","60.48","134.9","168.3","6.3","234.9","196.8","20.6","17.5","117.5","88.9","304.8"
"6","x","168.3","","G6-46R","241.3","222.2","122.3","1 1/8 8UN","63.32","120.5","157.2","6.3","234.9","196.8","23.8","20.6","120.6","85.7","308"
"6","x","168.3","","G6-42","241.3","222.2","122.3","1 1/8 8UN","66.78","106.3","168.3","6.3","234.9","196.8","20.6","17.5","117.5","88.9","304.8"
"6","x","168.3","","GX6-40R","241.3","228.6","127","1 1/8 8UN","77.6","103","139.7","6.3","234.9","196.8","23.8","20.6","120.6","85.7","308"
"8","40","219.1","202.7","G8-82","282.6","250.8","149.2","1 1/4 8UN","76.6","209.6","257.2","9.5","292.1","254","19","22.2","136.5","76.2","304.8"
"8","80","219.1","193.7","G8-76","282.6","250.8","149.2","1 1/4 8UN","82.9","196.7","254","9.5","292.1","254","19","22.2","136.5","76.2","304.8"
"8","160","219.1","173.1","G8-72","282.6","250.8","149.2","1 1/4 8UN","94.2","184.1","241.3","9.5","292.1","254","19","22.2","136.5","88.9","304.8"
"8","XXS","219.1","174.6","G8-67","282.6","250.8","149.2","1 1/4 8UN","","174.6","222.2","9.5","292.1","254","19","22.2","136.5","88.9","304.8"
"8","x","219.1","","G8-62","282.6","250.8","149.2","1 1/4 8UN","104.7","154","200","9.5","292.1","254","19","20.6","136.5","107.9","304.8"
"8","x","219.1","","GX8-62","282.6","266.7","163.5","1 3/8 8UN","121","154","200","9.5","292.1","254","19","20.6","136.5","107.9","304.8"
"8","x","219.1","","GX8-52R","279.4","266.7","163.5","1 3/8 8UN","131.4","134.9","168.3","6.3","292.1","254","23.8","20.6","139.7","98.4","304.8"
"10","40","273.1","255","G10-102","314.3","320.7","171.4","1 5/8 8UN","148.7","260.4","304.8","9.5","346","295.3","31.7","22.2","152.4","88.9","355.6"
"10","60","273.1","247.8","G10-97","314.3","320.7","171.4","1 5/8 8UN","155.8","250.8","304.8","9.5","346","295.3","31.7","22.2","152.4","88.9","355.6"
"10","80","273.1","242.9","G10-97","314.3","320.7","171.4","1 5/8 8UN","159.2","250.8","304.8","9.5","346","295.3","31.7","22.2","152.4","88.9","355.6"
"10","120","273.1","230.2","G10-91","314.3","320.7","171.4","1 5/8 8UN","170.6","231.8","330.2","9.5","346","295.3","31.7","22.2","152.4","101.6","355.6"
"10","160","273.1","215.9","G10-84","314.3","320.7","171.4","1 5/8 8UN","182.2","215.9","282.6","9.5","346","295.3","31.7","22.2","152.4","108","355.6"
"10","x","273.1","","G10-72","314.3","320.7","171.4","1 5/8 8UN","202","184.1","241.3","9.5","346","295.3","31.7","22.2","152.4","127","355.6"
"10","x","273.1","","GX10-82","314.3","346.1","184.1","1 3/4 8UN","214.3","209.6","257.2","9.5","346","295.3","31.7","22.2","152.4","120.7","355.6"
"10","x","273.1","","GX10-72","314.3","346.1","184.1","1 3/4 8UN","230.1","184.1","241.3","9.5","346","295.3","31.7","22.2","152.4","127","355.6"
"10","x","273.1","","GX10-62R","406.4","346.1","184.1","1 3/4 8UN","286.2","154","209","9.5","346","295.3","36.5","22.2","203.2","114.3","355.6"
"12","STD","323.8","304.8","G12-120","346","368.3","184.1","1 3/4 8UN","193","304.8","352.4","9.5","406","355.6","34.9","22.2","168.3","98.4","355.6"
"12","X","323.8","298.4","G12-120","346","368.3","184.1","1 3/4 8UN","199","304.8","352.4","9.5","406","355.6","34.9","22.2","168.3","98.4","355.6"
"12","80","323.8","288.9","G12-112","352.4","368.3","184.1","1 3/4 8UN","217","285.7","358.8","15.9","406","355.6","31.7","22.2","168.3","108","355.6"
"12","120","323.8","273.1","G12-106","346","368.3","184.1","1 3/4 8UN","226","273.1","320.7","9.5","406","355.6","34.9","22.2","168.3","133.3","355.6"
"12","160","323.8","257.2","G12-102","346","368.3","184.1","1 3/4 8UN","224","260.4","304.8","9.5","406","355.6","34.9","22.2","168.3","133.3","355.6"
"12","x","323.8","","G12-94","346","368.3","184.1","1 3/4 8UN","261","241.3","304.8","9.5","406","355.6","34.9","22.2","168.3","133.3","355.6"
"12","x","323.8","","GX12-82R","406.4","387.4","209.6","2 8UN","363","209.6","257.2","9.5","406","355.6","39.7","27","203.2","127","355.6"
"14","80","355.6","317.5","GZ14-130","368.3","361.9","187.3","1 5/8 8UN","204","330.2","381","12.7","438.1","400","19","31.7","177.8","107.9","As Specified"
"14","160","355.6","284.2","GZ14-112R","368.3","361.9","187.3","1 5/8 8UN","275","258.7","358.8","15.9","438.1","400","25.4","28.6","184.1","139.7","As Specified"
"16","80","406.4","363.6","GZ16-144R","406.4","374.9","196.8","1 7/8 8UN","321","368.3","431.8","12.7","495.3","457.2","25.4","25.4","203.2","152.4","As Specified"
"16","160","406.4","325.5","GZ16-130R","406.4","374.9","196.8","1 7/8 8UN","381","330.2","381","12.7","495.3","457.2","25.4","25.4","203.2","165.1","As Specified"
"18","60","457.2","419.1","GZ18-164","431.8","403.9","234.9","1 7/8 8UN","372","419.1","482.6","12.7","552.4","514.3","19","25.4","209.6","146","As Specified"
"18","120","457.2","387.4","GZ18-152R","431.8","403.9","234.9","1 7/8 8UN","440","387.4","450.8","12.7","552.4","514.3","25.4","25.4","215.9","163.3","As Specified"
"20","60","508","466.7","GZ20-184","457.2","453.4","212.7","2 8UN","515","469.9","533.4","12.7","662.3","584.2","19","28.6","222.2","152.4","As Specified"
"20","120","508","431.8","GZ20-170R","457.2","453.4","212.7","2 8UN","605","431.8","495.3","12.7","662.3","584.2","25.4","34.9","228.6","177.8","As Specified"
