23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nom -Size,Nom -Size,Sch,O/D A,Bore B,G-Range Connection,Length L,Clearance R,M,Bolt G,Weight Kg,Bore H,O/D J,Rib K,C,D,E,F,Buttweld L2,Blind L3,Nozzle L4,H Bolt Spacing,G Bolt Spacing
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
6,150,120,168.3,139.7,G6-54,241.3,222.2,122.3,1.125 inch 8UN,54.36,139.7,173.1,6.3,234.9,196.8,20.6,17.5,117.5,88.9,304.8,61.9,320.7
10,250,120,273.1,230.2,G10-91,314.3,320.7,171.4,1.625 inch 8UN,170.6,231.8,330.2,9.5,346,295.3,31.7,22.2,152.4,101.6,355.6,88.9,482.6
12,300,120,323.8,273.1,G12-106,346,368.3,184.1,1.75 inch 8UN,226,273.1,320.7,9.5,406,355.6,34.9,22.2,168.3,133.3,355.6,95.3,552.5
18,450,120,457.2,387.4,GZ18-152R,431.8,403.9,234.9,1.875 inch 8UN,440,387.4,450.8,12.7,552.4,514.3,25.4,25.4,215.9,163.3,0,139.7,647.7
20,500,120,508,431.8,GZ20-170R,457.2,453.4,212.7,2 inch 8UN,605,431.8,495.3,12.7,662.3,584.2,25.4,34.9,228.6,177.8,0,111.1,723.9
