18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-,-,-,-,Blind,-,-,-,-,-,-,-,-,Bolting4,-,-,Bolting4,-
Nom. Size,,Flange Size,Weight (kg)2,Weight (kg)2,A,C,D,E,F,G,X,No.,Size (ins),Length,P.C.D.,Size (mm),bolt wt
1,25,1DF15,2.5,2.5,33.4,98.4,54,19,-,-,41.3,4,0.5,80,73,14,0.38649632
1+1/2,40,11/2DF15,4.2,4.1,48.3,120.7,60.3,20.6,38.1,76.2,63.5,6,0.5,80,95.3,14,0.57974448
2,50,2DF15,5.3,5.3,60.3,133.4,60.3,22.2,38.1,76.2,76.2,6,0.5,80,108,14,0.57974448
2+1/2,65,21/2DF15,8.2,8.4,73,158.8,69.9,25.4,54,88.9,88.9,6,0.625,100,127,16,0.9465216
3,80,3DF15,10.6,11.1,88.9,174.6,73,28.6,50.8,92.1,104.8,8,0.625,100,142.9,16,1.2620288
4,100,4DF15,20.6,21.4,114.3,219.1,88.9,34.9,60.3,111.1,133.4,8,0.75,120,181,20,2.366304
5,130,5DF15,29.4,31.4,141.3,247.7,95.3,41.3,69.9,114.3,161.9,12,0.75,140,209.6,20,4.141032
6,150,6DF9,31.8,34.7,168.3,274.7,88.9,38.1,69.9,111.1,187.3,12,0.75,130,236.6,20,3.845244
8,200,8DF9,51.1,57,219.1,330.2,101.6,44.5,85.7,127,241.3,20,0.75,140,292.1,20,6.90172
10,250,10DF9,91.6,105,273.1,409.6,114.3,54,95.3,139.7,295.3,16,1,170,358.8,27,12.21900228
12,300,12DF9,150,174,323.9,476.3,133.4,66.7,120.7,165.1,349.3,20,1.125,210,419.1,30,23.293305
14,350,14DF9,211,247,355.6,530.2,149.2,77.8,136.6,181,384.2,20,1.25,230,466.7,33,30.86917515
16,400,16DF9,286,336,406.4,596.9,165.1,84.1,149.2,190.5,438.2,20,1.375,250,527.1,38,44.491445
18,450,18DF9,379,450,457.2,660.4,184.2,92.1,165.1,212.7,495.3,24,1.375,270,590.6,38,57.66091272
20,500,20DF9,476,572,508,717.6,196.9,100,177.8,225.4,546.1,24,1.5,290,641.4,39,65.23456446
24,600,24DF9,791,949,609.6,857.3,228.6,117.5,209.6,279.4,660.4,24,1.75,330,768.4,45,98.8301655
30,750,30DF9,1425,1757,762,1054.1,266.7,146.1,,,819.2,24,2.25,410,939.8,56,190.1561894
36,900,36DF9,1943,2474,914.4,1219.2,285.8,158.8,,,977.9,28,2.25,430,1104.9,56,232.6707846
40,1000,40DF9,2318,3119,1016,1339.9,292.1,180,,,1079.5,28,2.5,430,1212.9,64,303.896535
