18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2500 ANSI,-,-,-,Blind,-,-,-,-,-,-,-,-,Bolting4,,-,Bolting4,-
Nom. Size,,Flange Size,Weight (kg)2,Weight (kg)2,A,C,D,E,F,G,X,No.,Size (ins),Length,P.C.D.,Size (mm),bolt wt
1,25,1DF25,2.7,2.6,33.4,98.4,54,19,34.9,57.2,41.3,4,0.5,80,73,14,0.38649632
1+1/2,40,11/2DF25,5.1,4.9,48.3,120.7,63.5,23.8,47.6,82.6,63.5,8,0.5,90,95.3,14,0.86961672
2,50,2DF25,8.4,8.2,60.3,146.1,66.7,27,57.2,79.4,76.2,8,0.625,100,114.3,16,1.2620288
2+1/2,65,21/2DF25,14.9,14.8,73,174.7,79.4,35,66.7,101.6,88.9,8,0.875,120,136.5,24,3.40747776
3,80,3DF25,16.5,16.2,88.9,181,82.6,36.5,63.5,101.6,104.8,12,0.625,120,146,16,2.27165184
4,100,4DF25,30.7,30.2,114.3,225.4,98.4,44.5,73,123.8,138.1,12,0.75,140,187.3,20,4.141032
5,130,5DF25,58.6,58.5,141.3,279.4,114.3,55.5,95.3,136.5,165.1,12,1,180,228.6,27,9.70332534
6,150,6DF25,89.3,90.5,168.3,317.5,127,68.2,104.8,158.8,190.5,12,1.125,210,260.4,30,13.975983
8,200,8DF25,176,180,219.1,403.2,152.4,85.7,128.6,177.8,244.5,12,1.375,260,333.4,36,24.91718112
10,250,10DF25,335,345,273.1,498.5,184.2,106.3,168.3,219.1,301.6,12,1.75,320,409.6,45,47.917656
12,300,12DF25,505,522,323.9,577.9,203.2,120.7,196.9,257.2,358.8,12,2,360,476.3,52,71.98296768
14,350,14DF25,500,510,355.6,593.7,209.6,111.1,196.9,260.4,406.4,16,1.75,330,504.8,45,65.886777
16,400,16DF25,736,761,406.4,666.8,241.3,133.4,,,450.9,16,2,380,565.2,52,101.3093619
18,450,18DF25,1003,1065,457.2,746.1,260.4,165.1,,,508,16,2.25,410,631.8,56,126.770793
20,500,20DF25,1292,1346,508,828.7,276.2,158.8,,,565.2,16,2.5,430,701.7,64,173.6551629
24,600,24DF25,1895,1959,609.6,962,301.6,165.1,,,679.5,20,2.5,470,835,64,237.2614144
