18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
300 ANSI,-,-,-,Blind,-,-,Dimensions (mm),-,-,-,-,-,Bolting4,-,-,Bolting4,-
Nom. Size,Nom. Size,Flange Size,Weight (kg)2,Weight (kg)2,A,C,D,E,F,G,X,No.,Size (ins),Length,P.C.D.,Size (mm),bolt wt
1,25,1DF15,2.5,2.5,33.4,98.4,54,19,0,0,41.3,4,0.5,80,73,14,0.38649632
1+1/2,40,11/2DF15,3.9,4,48.3,120.7,60.3,20.6,38.1,76.2,63.5,6,0.5,80,95.3,14,0.57974448
2,50,2DF15,4.9,5.1,60.3,133.4,60.3,22.2,38.1,76.2,76.2,6,0.5,80,108,14,0.57974448
2+1/2,65,21/2DF15,7.7,8.1,73,158.8,69.9,25.4,54,88.9,88.9,6,0.625,100,127,16,0.9465216
3,80,3DF15,9.8,10.7,88.9,174.6,73,28.6,50.8,92.1,104.8,8,0.625,100,142.9,16,1.2620288
4,100,4DF15,18.3,20.2,114.3,219.1,88.9,34.9,60.3,111.1,133.4,8,0.75,120,181,20,2.366304
5,130,5DF15,26.4,29.9,141.3,247.7,95.3,41.3,69.9,114.3,161.9,12,0.75,140,209.6,20,4.141032
6,150,6DF9,28.4,33,168.3,274.7,88.9,38.1,69.9,111.1,187.3,12,0.75,130,236.6,20,3.845244
8,200,8DF9,43.5,53.2,219.1,330.2,101.6,44.5,85.7,127,241.3,20,0.75,140,292.1,20,6.90172
10,250,10DF6,47.5,62.8,273.1,381,98.4,41.3,,,292.1,24,0.75,140,342.9,20,8.282064
12,300,12DF3,61.6,84.3,323.9,431.8,95.3,44.5,,,339.7,20,0.75,140,393.7,20,6.90172
14,350,14DF3,75.9,105,355.6,469.9,104.8,47.6,,,374.7,24,0.75,150,431.8,20,8.87364
16,400,16DF3,95.7,136,406.4,523.9,114.3,50.8,,,425.5,32,0.75,150,482.6,20,11.83152
18,450,18DF3,132,190,457.2,584.2,130.2,57.2,,,482.6,32,0.875,170,539.8,24,19.30904064
20,500,20DF3,185,262,508,660.4,139.7,60.3,,,533.4,24,1.125,190,603.3,30,25.289874
24,600,24DF3,268,416,609.6,762,155.6,76.2,,,635,36,1.125,220,704.8,30,43.924518
30,750,30DF3,321,581,762,908.1,165.1,85.7,,,787.4,44,1,175,857.3,27,34.59055793
36,900,36DF3,467,918,914.4,1073.2,187.3,101.6,,,946.2,48,1.125,205,1016,30,54.572886
40,1000,40DF3,579,1156,1016,1174.8,200,108,,,1060.5,56,1.125,210,1117.6,30,65.221254
