11,2,3,4,5,6,7,8,9,10,11
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,LVR LEN,LVR HT,Kg
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,1.36,2.94,3.93,0.79,0.43,0.43,7.67,3.93,2.4
0+1/2,15,1.36,2.94,3.93,0.97,0.43,0.43,7.67,3.93,2.4
0+3/4,20,1.79,3.37,4.92,1.22,0.61,0.57,7.67,4.21,3.68
1,25,2.08,4.31,5.51,1.54,0.82,0.57,10.23,4.76,5.6
1+1/4,32,2.47,4.52,6.69,1.94,1.33,0.57,14.17,6.06,6.08
1+1/2,40,2.8,5.21,6.69,2.19,1.33,0.57,14.17,6.06,9.76
2,50,3.52,6.32,7.87,2.76,1.69,0.71,14.17,6.37,12.48
