14,2,3,4,5,6,7,8,9,10,11,12,13,14
in,mm,std-a,std-c,std wtkg,xs-a,xs-c,xs wtkg,160-a,160-c,160-wtkg,xxs-a,xxs-c,xxs-wtkg
0+1/4,6,15.875,9.2456,0.03,15.875,7.6708,4.55E-02,,,,,,
0+3/8,10,19.05,12.5222,0.04,19.05,10.7442,6.82E-02,,,,,,
0+1/2,15,19.05,15.7988,0.05,19.05,13.8684,5.45E-02,28.575,11.7856,0.109090909,28.575,6.4008,0.104545455
0+3/4,20,22.225,20.9296,0.12,22.225,18.8468,9.55E-02,31.75,15.5448,0.177272727,31.75,11.0236,0.295454545
1,25,26.9875,26.6446,0.15,26.9875,24.3078,0.195454545,38.1,20.701,0.281818182,38.1,15.2146,0.354545455
1+1/4,32,31.75,35.052,0.32,31.75,32.4612,0.313636364,44.45,29.464,0.527272727,44.45,22.7584,4.75E-02
1+1/2,40,33.3375,40.894,0.4,33.3375,38.1,0.404545455,50.8,33.9852,0.818181818,50.8,27.94,0.134297521
2,50,38.1,52.5018,0.5,38.1,49.2506,0.568181818,55.5625,42.9006,1.040909091,55.5625,38.1762,0.161157025
2+1/2,60,41.275,62.7126,1.05,41.275,59.0042,1.195454545,61.9125,53.975,1.372727273,61.9125,44.9834,0.527272727
3,80,44.45,77.9272,1.13,44.45,73.66,1.736363636,73.025,66.6496,2.881818182,73.025,58.42,0.727272727
3+1/2,90,47.625,90.1192,2.02,47.625,85.4456,2.254545455,,,,,69.2912,
4,100,50.8,102.2604,2.71,50.8,97.1804,2.804545455,84.1375,87.3252,4.518181818,84.1375,80.0608,5
5,130,57.15,128.1938,2.9,57.15,122.2502,4.359090909,93.6625,109.5502,5.75,93.6625,103.2002,5.75
6,150,60.325,154.051,4.77,77.7875,146.3294,6.845454545,104.775,131.7498,11.47727273,104.775,124.3838,14.97272727
8,200,69.85,202.7174,8.18,98.425,193.675,13.02727273,,,,,,
10,250,77.7875,254.508,12.37,93.6625,247.65,16.45,,,,,,
12,300,85.725,304.8,20,103.1875,298.45,30.45454545,,,,,,
14,350,88.9,336.55,25.45,100.0125,330.2,32.84090909,,,,,,
16,400,93.6625,387.35,34.54,125.4125,381,46.40909091,,,,,,
18,450,96.8375,438.15,44.09,111.125,431.8,58.97727273,,,,,,
20,500,101.6,488.95,54.54,119.0625,482.6,75.38636364,,,,,,
22,550,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
24,600,115.8875,590.55,88.45,139.7,584.2,119.1363636,,,,,,
26,650,119.0625,641.35,104.95,146.05,635,143.4863636,,,,,,
28,700,N/A,N/A,N/A,,,,,,,,,
30,750,136.525,742.95,152.37,,,,,,,,,
32,800,N/A,N/A,N/A,,,,,,,,,
34,850,N/A,N/A,N/A,,,,,,,,,
36,900,136.525,895.35,217.04,,,,,,,,,
38,950,N/A,N/A,N/A,,,,,,,,,
40,1000,N/A,N/A,N/A,,,,,,,,,
42,1050,N/A,N/A,N/A,,,,,,,,,
44,1100,N/A,N/A,N/A,,,,,,,,,
46,1150,N/A,N/A,N/A,,,,,,,,,
48,1200,147.6375,1200.15,501.68,,,,,,,,,
