14,2,3,4,5,6,7,8,9,10,11,12,13,14
Profils ipn,Profils ipn,thp 3000,thp 3000,thp 3000,thp 6000,thp 6000,thp 6000,swp 3000,swp 3000,swp 3000,swp 6000,swp 6000,swp 6000
in,mm,a,c,wt/kg,a,c,wt,a,c,wt,a,c,wt
0+1/8,3,19.05,8.6106,0.05,28.575,0,0,19.05,6.8326,0.05,25.4,0,0
0+1/4,6,19.05,11.0998,0.06,19.05,11.0998,0.06,19.05,9.2456,0.06,28.575,0,0
0+3/8,10,20.6375,14.6812,0.06,28.575,14.6812,0.06,20.6375,12.5222,0.06,28.575,0,0
0+1/2,15,25.4,18.2372,0.12,31.75,18.2372,0.12,25.4,15.7988,0.17,31.75,11.8364,0.12
0+3/4,20,26.9875,23.4188,0.17,36.7665,23.4188,0.17,26.9875,20.9296,0.17,36.5125,15.5956,0.17
1,25,33.3375,29.3624,0.33,39.6875,29.3624,0.33,33.3375,26.6446,0.33,39.6875,20.701,0.33
1+1/4,32,33.3375,38.1,0.43,41.275,38.1,0.43,33.3375,35.052,0.43,41.275,29.464,0.43
1+1/2,40,34.925,44.0436,0.5,42.8625,44.0436,0.74,34.925,40.894,0.5,42.8625,33.9852,0.74
2,50,38.1,56.3372,0.75,52.3875,56.3372,0.75,38.1,52.5018,0.75,52.3875,42.9006,0.75
2+1/2,60,46.0375,66.675,1.24,N/A,N/A,N/A,46.0375,62.7126,1.24,N/A,N/A,N/A
3,80,50.8,82.55,1.76,N/A,N/A,N/A,50.8,77.9272,1.76,N/A,N/A,N/A
3+1/2,90,53.975,95.25,2.43,N/A,N/A,N/A,53.975,90.1192,2.43,N/A,N/A,N/A
4,100,57.15,107.95,2.8,N/A,N/A,N/A,57.15,102.2604,3,N/A,N/A,N/A
5,130,66.675,134.9248,4.96,N/A,N/A,N/A,60.325,128.1938,5.01,N/A,N/A,N/A
6,150,68.2625,160.3248,6.4,N/A,N/A,N/A,68.2625,154.1018,6,N/A,N/A,N/A
