4,2,3,4
pipet,pipet,sock elb e,3000
in,mm,3000,wt
0+1/8,3,36.5125,0.8
0+1/4,6,41.275,1.53
0+3/8,10,52.3875,1.54
0+1/2,15,36.5125,1.55
0+3/4,20,41.275,1.62
1,25,52.3875,1.65
1+1/4,32,55.5625,1.82
1+1/2,40,60.325,1.9
2,50,69.85,2
2+1/2,60,79.375,2.55
3,80,90.4875,2.63
3+1/2,90,N/A,3.52
4,100,107.95,4.21
