5,2,3,4,5
Profils ipn,Profils ipn,swp 6000,swp 6000,swp 6000
in,mm,a,c,wt
0+1/8,3,25.4,0,0
0+1/4,6,28.575,0,0
0+3/8,10,28.575,0,0
0+1/2,15,31.75,11.8364,0.12
0+3/4,20,36.5125,15.5956,0.17
1,25,39.6875,20.701,0.33
1+1/4,32,41.275,29.464,0.43
1+1/2,40,42.8625,33.9852,0.74
2,50,52.3875,42.9006,0.75
