5,2,3,4,5
Profils ipn,Profils ipn,swp 3000,swp 3000,swp 3000
in,mm,a,c,wt
0+1/8,3,19.05,6.8326,0.05
0+1/4,6,19.05,9.2456,0.06
0+3/8,10,20.6375,12.5222,0.06
0+1/2,15,25.4,15.7988,0.17
0+3/4,20,26.9875,20.9296,0.17
1,25,33.3375,26.6446,0.33
1+1/4,32,33.3375,35.052,0.43
1+1/2,40,34.925,40.894,0.5
2,50,38.1,52.5018,0.75
2+1/2,60,46.0375,62.7126,1.24
3,80,50.8,77.9272,1.76
3+1/2,90,53.975,90.1192,2.43
4,100,57.15,102.2604,3
5,130,60.325,128.1938,5.01
6,150,68.2625,154.1018,6
