4,2,3,4
pipet,pipet,thd lat e 9000,
in,mm,9000,wtkg
0+1/8,3,N/A,1.8
0+1/4,6,N/A,3.4425
0+3/8,10,N/A,3.465
0+1/2,15,53.975,3.4875
0+3/4,20,65.0875,3.645
1,25,71.4375,3.7125
1+1/4,32,79.375,4.095
1+1/2,40,88.9,4.275
2,50,106.3625,4.5
2+1/2,60,N/A,5.7375
3,80,N/A,5.9175
3+1/2,90,N/A,7.92
4,100,N/A,9.4725
