15,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ins,mm,150 proj,150 kg,300 proj,300 kg,600 proj,600 kg,900 proj,900 kg,1500 proj,1500 kg,2500 proj,2500 kg,lats and els
0+1/8,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,152.4,1.14,152.4,1.14,152.4,1.59,152.4,3.41,152.4,3.41,152.4,3.86,228.6
0+3/4,20,152.4,1.2,152.4,1.66,152.4,1.89,152.4,3.48,152.4,3.48,152.4,4.39,228.6
1,25,152.4,1.55,152.4,2.24,152.4,2.24,152.4,4.28,152.4,4.28,152.4,6.33,228.6
1+1/4,32,152.4,1.77,152.4,3.14,152.4,2.91,152.4,5.18,152.4,5.18,152.4,9.73,228.6
1+1/2,40,152.4,2.61,152.4,3.98,152.4,4.43,152.4,7.16,152.4,7.16,228.6,13.52,228.6
2,50,152.4,3.52,152.4,4.43,152.4,5.34,152.4,11.7,228.6,11.7,228.6,19.89,228.6
