4,2,3,4
pipet,pipet,eol e std,wt
0+1/4,6,N/A,N/A
0+3/8,10,N/A,N/A
0+1/2,15,34.925,0.396
0+3/4,20,42.8625,0.924
1,25,49.2125,1.122
1+1/4,32,53.975,2.376
1+1/2,40,58.7375,2.97
2,50,69.85,3.696
2+1/2,60,80.9625,7.623
3,80,88.9,8.25
3+1/2,90,N/A,14.685
4,100,109.5375,19.437
5,130,N/A,21.087
6,150,146.05,34.65
8,200,184.15,59.433
10,250,219.075,89.826
