4,2,3,4
in,mm,a,wt
0+1/4,6,N/A,N/A
0+3/8,10,N/A,N/A
0+1/2,15,39.6875,0.396
0+3/4,20,47.625,0.924
1,25,53.975,1.122
1+1/4,32,60.325,2.376
1+1/2,40,65.0875,2.97
2,50,76.2,3.696
2+1/2,60,87.3125,7.623
3,80,95.25,8.25
3+1/2,90,N/A,14.685
4,100,117.475,19.437
5,130,N/A,21.087
6,150,157.1625,34.65
8,200,193.675,59.433
10,250,230.1875,89.826
