4,2,3,4
pipet,pipet,eol e xs,wt
0+1/4,6,N/A,N/A
0+3/8,10,N/A,N/A
0+1/2,15,34.925,0.396
0+3/4,20,42.8625,0.693
1,25,49.2125,1.419
1+1/4,32,53.975,2.277
1+1/2,40,58.7375,2.937
2,50,69.85,4.125
2+1/2,60,80.9625,8.679
3,80,88.9,12.606
3+1/2,90,N/A,18.6
4,100,109.5375,20.361
5,130,N/A,N/A
6,150,163.5125,49.698
8,200,215.9,94.578
10,250,N/A,N/A
