47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ hole size,bore1,bore2,thread len,counter b
1,25,160,38.1,57,33.5,N/A,N/A,92,N/A,50.8,7,N/A,6.35,18,4,N/A,1,108,4,0+7/8,N/A,150,160,1,24,6.5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,60.33,6.35,8.74,N/A,3.48705792,3.77644032,6.4,25.4,N/A,N/A,N/A,N/A
1+1/2,40,205,44.5,79,48.3,N/A,N/A,111,N/A,73,7,N/A,7.92,23,3,N/A,1+1/2,146,4,1+1/8,N/A,180,190,1+1/4,30,13,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,82.55,7.92,11.91,N/A,5.62,5.81,6.4,31.75,N/A,N/A,N/A,N/A
2,50,235,50.8,95,60.3,N/A,N/A,127,N/A,92.1,7,N/A,7.92,26,3,N/A,2,171.4,8,1,N/A,185,195,1+1/8,27,19,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,101.6,7.92,11.91,N/A,8.89,9.2,6.4,28.575,N/A,N/A,N/A,N/A
2+1/2,65,265,57.2,114,73,N/A,N/A,143,N/A,104.8,7,N/A,9.53,28,3,N/A,2+1/2,196.8,8,1+1/8,N/A,205,215,1+1/4,30,24,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,111.13,9.53,13.49,N/A,12.19,12.56,6.4,31.75,N/A,N/A,N/A,N/A
3,80,305,66.7,133,88.9,N/A,N/A,168,N/A,127,7,N/A,9.53,32,3,N/A,3,228.6,8,1+1/4,N/A,230,240,1+3/8,33,43,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,127,9.53,13.49,N/A,16.32,16.78,9.5,34.925,N/A,N/A,N/A,N/A
4,100,355,76.2,165,114.3,N/A,N/A,190,N/A,157.2,7,N/A,11.13,38,4,N/A,4,273,8,1+1/2,N/A,260,275,1+5/8,39,66,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,157.18,11.13,16.66,N/A,27.37,28.38,12.7,41.275,N/A,N/A,N/A,N/A
6,150,485,108,235,168.3,N/A,N/A,273,N/A,215.9,7,N/A,12.7,47,4,N/A,6,368.3,8,2,N/A,350,370,2+1/8,52,172,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,228.6,12.7,19.84,N/A,66.64,69.1,12.7,53.975,N/A,N/A,N/A,N/A
8,200,550,127,305,219.1,N/A,N/A,318,N/A,269.9,7,N/A,14.27,51,5,N/A,8,438.2,12,2,N/A,385,405,2+1/8,52,261,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,279.4,14.27,23.01,N/A,106.42,110.12,12.7,53.975,N/A,N/A,N/A,N/A
10,250,675,165.1,375,273,N/A,N/A,419,N/A,323.8,7,N/A,17.48,55,6,N/A,10,539.8,12,2+1/2,N/A,490,515,2+5/8,64,485,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,342.9,17.48,30.18,N/A,194.74,201.6,12.7,66.675,N/A,N/A,N/A,N/A
12,300,760,184.2,441,323.8,N/A,N/A,464,N/A,381,7,N/A,17.48,60,8,N/A,12,619.1,12,2+3/4,N/A,540,570,2+7/8,72,730,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,406.4,17.48,33.32,N/A,269.63,280.2,12.7,73.025,N/A,N/A,N/A,N/A
