47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd /so thk,lapped thk,wn thk y1,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so/thred kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,spare,QB,QF,thread len F,counter dth G
1,25,4.88,1.44,2.12,1.32,1.81,N/A,3.19,N/A,2,0.06,N/A,N/A,N/A,N/A,N/A,1,3.5,4,0+5/8,N/A,5,N/A,0+11/16,16,4.5,3,N/A,N/A,1,1.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.95817728,N/A,0.25,,1.14,1.3,1.38,19.1
1+1/2,40,6.12,1.44,2.75,1.9,1.81,N/A,3.31,N/A,2.88,0.06,N/A,N/A,N/A,N/A,N/A,1+1/2,4.5,4,0+3/4,N/A,5.25,N/A,0+13/16,20,6.5,5,N/A,N/A,1+1/2,1.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.74,N/A,0.25,N/A,1.99,1.89,1.41,18.3
2,50,6.5,1.44,3.31,2.38,1.88,N/A,3.31,N/A,3.62,0.06,N/A,N/A,N/A,N/A,N/A,2,5,8,0+5/8,N/A,5,N/A,0+11/16,16,7,5.5,N/A,N/A,2,2.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.95,N/A,0.25,N/A,2.5,2.36,1.44,17.5
2+1/2,65,7.5,1.44,3.94,2.88,1.94,N/A,3.44,N/A,4.12,0.06,N/A,N/A,N/A,N/A,N/A,2+1/2,5.88,8,0+3/4,N/A,5.25,N/A,0+13/16,20,7.5,6.2,N/A,N/A,2+1/2,2.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,0.25,N/A,3,2.84,1.69,14.3
3,80,8.25,1.44,4.62,3.5,2,N/A,3.44,N/A,5,0.06,N/A,N/A,N/A,N/A,N/A,3,6.62,8,0+3/4,N/A,5.25,N/A,0+13/16,20,9.4,8,N/A,N/A,3,3.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,0.375,N/A,3.63,3.46,1.75,14.3
4,100,10,1.44,5.75,4.5,2.06,N/A,3.56,N/A,6.19,0.06,N/A,N/A,N/A,N/A,N/A,4,7.88,8,0+3/4,N/A,5.25,N/A,0+13/16,20,13.2,12.1,N/A,N/A,4,4.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,0.5,N/A,4.63,4.45,1.81,14.3
6,150,12.5,1.44,8.12,6.63,2.06,N/A,3.88,N/A,8.5,0.06,N/A,N/A,N/A,N/A,N/A,6,10.62,12,0+3/4,N/A,5.25,N/A,0+7/8,20,14.6,18.5,N/A,N/A,6,6.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.23,N/A,0.5,N/A,6.75,6.57,1.81,7.9
8,200,15,1.56,10.25,8.63,2.38,N/A,4.31,N/A,10.62,0.06,N/A,N/A,N/A,N/A,N/A,8,13,12,0+7/8,N/A,5.75,N/A,1,24,30,26,N/A,N/A,8,8.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.47,N/A,0.5,N/A,8.75,8.55,2.12,11.1
10,250,17.5,1.81,12.62,10.75,2.56,N/A,4.56,N/A,12.75,0.06,N/A,N/A,N/A,N/A,N/A,10,15.25,16,1,N/A,6.5,N/A,1+1/8,27,41,38,N/A,N/A,10,10.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.55,N/A,0.5,N/A,N/A,N/A,N/A,N/A
12,300,20.5,1.94,14.75,12.75,2.81,N/A,5.06,N/A,15,0.06,N/A,N/A,N/A,N/A,N/A,12,17.75,16,1+1/8,N/A,7,N/A,1+1/4,30,62,52,N/A,N/A,12,12.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.51,N/A,0.5,N/A,N/A,N/A,N/A,N/A
14,350,23,2.06,16.75,14,2.94,N/A,5.56,N/A,16.25,0.06,N/A,N/A,N/A,N/A,N/A,14,20.25,20,1+1/8,N/A,7.25,N/A,1+1/4,30,84,74,N/A,N/A,14,14.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.59,N/A,0.5,N/A,N/A,N/A,N/A,N/A
16,400,25.5,2.19,19,16,3.19,N/A,5.69,N/A,18.5,0.06,N/A,N/A,N/A,N/A,N/A,16,22.5,20,1+1/4,N/A,7.75,N/A,1+3/8,33,111,100,N/A,N/A,16,16.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.8,N/A,0.5,N/A,N/A,N/A,N/A,N/A
18,450,28,2.31,21,18,3.44,N/A,6.19,N/A,21,0.06,N/A,N/A,N/A,N/A,N/A,18,24.75,24,1+1/4,N/A,8,N/A,1+3/8,33,138,127,N/A,N/A,18,18.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.52,N/A,0.5,N/A,N/A,N/A,N/A,N/A
20,500,30.5,2.44,23.12,20,3.69,N/A,6.31,N/A,23,0.06,N/A,N/A,N/A,N/A,N/A,20,27,24,1+1/4,N/A,8.5,N/A,1+3/8,33,171,147,N/A,N/A,20,20.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.92,N/A,0.5,N/A,N/A,N/A,N/A,N/A
24,600,36,2.69,27.62,24,4.12,N/A,6.56,N/A,27.25,0.06,N/A,N/A,N/A,N/A,N/A,24,32,24,1+1/2,N/A,9.5,N/A,1+5/8,39,247,208,N/A,N/A,24,24.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.11,N/A,0.5,N/A,N/A,N/A,N/A,N/A
