47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd /so thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so/thred kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf kg,bolts wt rtj,Orif hole dia,spare,QB,QF,thread len F,counter dth G
1,25,125,36.6,54,33.4,46,27,81,N/A,50.8,2,N/A,N/A,N/A,N/A,N/A,1,88.9,4,0+5/8,N/A,125,N/A,0+11/16,16,4.5,3,1.4,33,1,34.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.95817728,N/A,6.4,,35.8,33,36.5,19.1
1+1/2,40,155,36.6,70,48.3,46,30,84,N/A,73,2,N/A,N/A,N/A,N/A,N/A,1+1/2,114.3,4,0+3/4,N/A,135,N/A,0+13/16,20,6.5,5,2.7,48,1+1/2,49.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.74,N/A,6.4,N/A,50.5,48,37.3,18.3
2,50,165,36.6,84,60.3,48,33,84,N/A,92.1,2,N/A,N/A,N/A,N/A,N/A,2,127,8,0+5/8,N/A,125,N/A,0+11/16,16,7,5.5,3.7,60,2,61.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.95,N/A,6.4,N/A,63.5,59.9,38.1,17.5
2+1/2,65,190,36.6,100,73,49,38,87,N/A,104.8,2,N/A,N/A,N/A,N/A,N/A,2+1/2,149.2,8,0+3/4,N/A,135,N/A,0+13/16,20,7.5,6.2,5.5,73,2+1/2,74.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,6.4,N/A,76.2,72.1,44.4,14.3
3,80,210,36.6,117,88.9,51,43,87,N/A,127,2,N/A,N/A,N/A,N/A,N/A,3,168.3,8,0+3/4,N/A,135,N/A,0+13/16,20,9.4,8,7.3,89,3,90.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,9.5,N/A,92.2,87.9,46,14.3
4,100,255,36.6,146,114.3,52,48,90,N/A,157.2,2,N/A,N/A,N/A,N/A,N/A,4,200,8,0+3/4,N/A,135,N/A,0+13/16,20,13.2,12.1,12.3,114,4,116.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,N/A,12.7,N/A,117.6,113,47.6,14.3
6,150,320,36.6,206,168.3,52,52,98,N/A,215.9,2,N/A,N/A,N/A,N/A,N/A,6,269.9,12,0+3/4,N/A,135,N/A,0+7/8,20,14.6,18.5,22.7,168,6,170.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.23,N/A,12.7,N/A,171.4,166.9,47.6,7.9
8,200,380,39.7,260,219.1,60,62,110,N/A,269.9,2,N/A,N/A,N/A,N/A,N/A,8,330.2,12,0+7/8,N/A,145,N/A,1,24,30,26,36,219,8,221.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.47,N/A,12.7,N/A,222.2,217.2,55.6,11.1
10,250,445,46.1,321,273,65,95,116,N/A,323.8,2,N/A,N/A,N/A,N/A,N/A,10,387.3,16,1,N/A,165,N/A,1+1/8,27,41,38,57,273,10,276.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.55,N/A,12.7,N/A,N/A,N/A,N/A,N/A
12,300,520,49.3,375,323.8,71,102,129,N/A,381,2,N/A,N/A,N/A,N/A,N/A,12,450.8,16,1+1/8,N/A,180,N/A,1+1/4,30,62,52,84,324,12,327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.51,N/A,12.7,N/A,N/A,N/A,N/A,N/A
14,350,585,52.4,425,355.6,75,111,141,N/A,412.8,2,N/A,N/A,N/A,N/A,N/A,14,514.4,20,1+1/8,N/A,185,N/A,1+1/4,30,84,74,113,356,14,359.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.59,N/A,12.7,N/A,N/A,N/A,N/A,N/A
16,400,650,55.6,483,406.4,81,121,144,N/A,469.9,2,N/A,N/A,N/A,N/A,N/A,16,571.5,20,1+1/4,N/A,195,N/A,1+3/8,33,111,100,134,406,16,410.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.8,N/A,12.7,N/A,N/A,N/A,N/A,N/A
18,450,710,58.8,533,457,87,130,157,N/A,533.4,2,N/A,N/A,N/A,N/A,N/A,18,628.6,24,1+1/4,N/A,205,N/A,1+3/8,33,138,127,181,457,18,461.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.52,N/A,12.7,N/A,N/A,N/A,N/A,N/A
20,500,775,62,587,508,94,140,160,N/A,584.2,2,N/A,N/A,N/A,N/A,N/A,20,685.8,24,1+1/4,N/A,215,N/A,1+3/8,33,171,147,230,508,20,513.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.92,N/A,12.7,N/A,N/A,N/A,N/A,N/A
24,600,915,68.3,702,610,105,152,167,N/A,692.2,2,N/A,N/A,N/A,N/A,N/A,24,812.8,24,1+1/2,N/A,240,N/A,1+5/8,39,247,208,359,610,24,616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.11,N/A,12.7,N/A,N/A,N/A,N/A,N/A
