47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height E,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,SPARE,rf sb length,rtj sb len,hole size RF,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width F,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ HOLE SIZE,bore1,bore2,thread len,counter b
1,25,4.88,1.44,2.12,1.32,N/A,N/A,3.19,N/A,2,0.06,N/A,0.25,16,0.16,N/A,1,3.5,4,0+5/8,N/A,5,5.5,0+11/16,16,5.5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2,0.25,0.344,0.03,1.21540608,1.31186688,0.25,0.75,N/A,N/A,N/A,N/A
1+1/2,40,6.12,1.44,2.75,1.9,N/A,N/A,3.32,N/A,2.88,0.06,N/A,0.25,20,0.16,N/A,1+1/2,4.5,4,0+3/4,N/A,5.25,5.5,0+13/16,20,7.8,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,2.688,0.25,0.344,0.03,1.74,1.78,0.25,0.88,N/A,N/A,N/A,N/A
2,50,6.5,1.44,3.31,2.38,N/A,N/A,3.32,N/A,3.62,0.06,N/A,0.312,23,0.19,N/A,2,5,8,0+5/8,N/A,5,5.5,0+11/16,16,8.3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,3.25,0.312,0.469,0.03,1.95,2.12,0.25,0.75,N/A,N/A,N/A,N/A
2+1/2,65,7.5,1.44,3.94,2.88,N/A,N/A,3.44,N/A,4.12,0.06,N/A,0.312,26,0.19,N/A,2+1/2,5.88,8,0+3/4,N/A,5.25,5.75,0+13/16,20,10.8,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,4,0.312,0.469,0.03,3.48,3.65,0.25,0.88,N/A,N/A,N/A,N/A
3,80,8.25,1.44,4.62,3.5,N/A,N/A,3.44,N/A,5,0.06,N/A,0.312,31,0.19,N/A,3,6.62,8,0+3/4,N/A,5.25,5.75,0+13/16,20,12.6,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,4.875,0.312,0.469,0.03,3.48,3.65,0.375,0.88,N/A,N/A,N/A,N/A
4,100,10.75,1.5,6,4.5,N/A,N/A,4,N/A,6.19,0.25,N/A,0.312,37,0.19,N/A,4,8.5,8,0+7/8,N/A,6,6.5,1,24,19,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5.875,0.312,0.469,0.03,5.76,6.12,0.5,1,N/A,N/A,N/A,N/A
6,150,14,1.88,8.75,6.63,N/A,N/A,4.62,N/A,8.5,0.25,N/A,0.312,45,0.19,N/A,6,11.5,12,1,N/A,7,7.5,1+1/8,27,37,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,8.312,0.312,0.469,0.03,13.11,13.58,0.5,1.12,N/A,N/A,N/A,N/A
8,200,16.5,2.19,10.75,8.63,N/A,N/A,5.25,N/A,10.62,0.25,N/A,0.312,49,0.19,N/A,8,13.75,12,1+1/8,N/A,7.75,8.25,1+1/4,30,53,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,10.625,0.312,0.469,0.03,17.72,18.56,0.5,1.25,N/A,N/A,N/A,N/A
10,250,20,2.5,13.5,10.75,N/A,N/A,6,N/A,12.75,0.25,N/A,0.312,53,0.19,N/A,10,17,16,1+1/4,N/A,8.75,9.25,1+3/8,33,86,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,12.75,0.312,0.469,0.03,31.72,33.1,0.5,1.38,N/A,N/A,N/A,N/A
12,300,22,2.62,15.75,12.75,N/A,N/A,6.12,N/A,15,0.25,N/A,0.312,57,0.19,N/A,12,19.25,20,1+1/4,N/A,9,9.5,1+3/8,33,102,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,15,0.312,0.469,0.03,40.81,41.95,0.5,1.38,N/A,N/A,N/A,N/A
14,350,23.75,2.75,17,14,N/A,N/A,6.5,N/A,16.25,0.25,N/A,0.312,61,0.19,N/A,14,20.75,20,1+3/8,N/A,9.5,10,1+1/2,36,150,N/A,N/A,N/A,14,N/A,N/A,N/A,N/A,16.5,0.312,0.469,0.03,53.2,55.32,0.5,1.5,N/A,N/A,N/A,N/A
16,400,27,3,19.5,16,N/A,N/A,7,N/A,18.5,0.25,N/A,0.312,65,0.19,N/A,16,23.75,20,1+1/2,N/A,10.25,10.75,1+5/8,39,190,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,18.5,0.312,0.469,0.03,68.44,84.2475816,0.5,1.62,N/A,N/A,N/A,N/A
18,450,29.25,3.25,21.5,18,N/A,N/A,7.25,N/A,21,0.25,N/A,0.312,69,0.19,N/A,18,25.75,20,1+5/8,N/A,11,11.5,1+3/4,42,240,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,21,0.312,0.469,0.03,87.01,88.97,0.5,1.75,N/A,N/A,N/A,N/A
20,500,32,3.5,24,20,N/A,N/A,7.5,N/A,23,0.25,N/A,0.375,73,0.19,N/A,20,28.5,24,1+5/8,N/A,11.75,12.5,1+3/4,42,295,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,23,0.375,0.531,0.06,109.15,113.88,0.5,1.75,N/A,N/A,N/A,N/A
24,600,37,4,28.25,24,N/A,N/A,8,N/A,27.25,0.25,N/A,0.438,77,0.22,N/A,24,33,24,1+7/8,N/A,13.25,13.75,2,48,365,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,27.5,0.483,0.656,0.06,162.52,167.18,0.5,2,N/A,N/A,N/A,N/A
