47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ hole size,bore1,bore2,thread len,counter b
1,25,6.25,1.5,2.25,1.32,N/A,N/A,3.62,N/A,2,0.25,N/A,0.25,18,0.16,N/A,1,4.25,4,0+7/8,N/A,6,6.25,1,24,6.5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2.275,0.25,0.344,,3.48705792,3.77644032,0.25,1,N/A,N/A,N/A,N/A
1+1/2,40,8,1.75,3.12,1.9,N/A,N/A,4.38,N/A,2.88,0.25,N/A,0.312,23,0.12,N/A,1+1/2,5.75,4,1+1/8,N/A,7,7.5,1+1/4,30,13,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,3.25,0.312,0.469,,5.62,5.81,0.25,1.25,N/A,N/A,N/A,N/A
2,50,9.25,2,3.75,2.38,N/A,N/A,5,N/A,3.62,0.25,N/A,0.312,26,0.12,N/A,2,6.75,8,1,N/A,7.25,7.75,1+1/8,27,19,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,4,0.312,0.469,,8.89,9.2,0.25,1.12,N/A,N/A,N/A,N/A
2+1/2,65,10.5,2.25,4.5,2.88,N/A,N/A,5.62,N/A,4.12,0.25,N/A,0.375,28,0.12,N/A,2+1/2,7.75,8,1+1/8,N/A,8,8.5,1+1/4,30,24,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,4.375,0.375,0.531,,12.19,12.56,0.25,1.25,N/A,N/A,N/A,N/A
3,80,12,2.62,5.25,3.5,N/A,N/A,6.62,N/A,5,0.25,N/A,0.375,32,0.12,N/A,3,9,8,1+1/4,N/A,9,9.5,1+3/8,33,43,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,5,0.375,0.531,,16.32,16.78,0.375,1.38,N/A,N/A,N/A,N/A
4,100,14,3,6.5,4.5,N/A,N/A,7.75,N/A,6.19,0.25,N/A,0.438,38,0.16,N/A,4,10.75,8,1+1/2,N/A,10.25,10.75,1+5/8,39,66,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6.188,0.438,0.656,,27.37,28.38,0.5,1.62,N/A,N/A,N/A,N/A
6,150,19,4.25,9.25,6.63,N/A,N/A,10.75,N/A,8.5,0.25,N/A,0.5,47,0.16,N/A,6,14.5,8,2,N/A,13.75,14.5,2+1/8,52,172,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,9,0.5,0.781,,66.64,69.1,0.5,2.12,N/A,N/A,N/A,N/A
8,200,21.75,5,12,8.63,N/A,N/A,12.5,N/A,10.62,0.25,N/A,0.562,51,0.19,N/A,8,17.25,12,2,N/A,15.25,16,2+1/8,52,261,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,11,0.562,0.906,,106.42,110.12,0.5,2.12,N/A,N/A,N/A,N/A
10,250,26.5,6.5,14.75,10.75,N/A,N/A,16.5,N/A,12.75,0.25,N/A,0.688,55,0.25,N/A,10,21.25,12,2+1/2,N/A,19.25,20.25,2+5/8,64,485,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,13.5,0.688,1.188,,194.74,201.6,0.5,2.62,N/A,N/A,N/A,N/A
12,300,30,7.25,17.38,12.75,N/A,N/A,18.25,N/A,15,0.25,N/A,0.688,60,0.31,N/A,12,24.38,12,2+3/4,N/A,21.25,22.5,2+7/8,72,730,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,16,0.688,1.312,,269.63,280.2,0.5,2.88,N/A,N/A,N/A,N/A
