47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ HOLE DIA,bore1,bore2,thread len,counter b
1,25,5.88,1.5,2.06,1.32,N/A,N/A,3.25,N/A,2,0.25,N/A,0.25,16,0.16,N/A,1,4,4,0+7/8,N/A,6,6.25,1,24,5.4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2,0.25,0.344,,3.48705792,3.77644032,6.4,1,N/A,N/A,N/A,N/A
1+1/2,40,7,1.5,2.75,1.9,N/A,N/A,3.5,N/A,2.88,0.25,N/A,0.25,20,0.16,N/A,1+1/2,4.88,4,1,N/A,6.25,6.5,1+1/8,27,7.8,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,2.688,0.25,0.344,,4.06,4.13,6.4,1.12,N/A,N/A,N/A,N/A
2,50,8.5,1.5,4.12,2.38,N/A,N/A,4,N/A,3.62,0.25,N/A,0.312,24,0.12,N/A,2,6.5,8,0+7/8,N/A,6,6.5,1,24,11.5,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,3.75,0.312,0.469,,5.76,6.12,6.4,1,N/A,N/A,N/A,N/A
2+1/2,65,9.62,1.62,4.88,2.88,N/A,N/A,4.12,N/A,4.12,0.25,N/A,0.312,27,0.12,N/A,2+1/2,7.5,8,1,N/A,6.5,7,1+1/8,27,15.8,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,4.25,0.312,0.469,,8.27,8.74,6.4,1.12,N/A,N/A,N/A,N/A
3,80,10.5,1.88,5.25,3.5,N/A,N/A,4.62,N/A,5,0.25,N/A,0.312,35,0.12,N/A,3,8,8,1+1/8,N/A,7.25,7.25,1+1/4,30,22,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,5.375,0.312,0.469,,11.43,11.43,9.5,1.25,N/A,N/A,N/A,N/A
4,100,12.25,2.12,6.38,4.5,N/A,N/A,4.88,N/A,6.19,0.25,N/A,0.312,39,0.12,N/A,4,9.5,8,1+1/4,N/A,8,8.5,1+3/8,33,22,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,6.375,0.312,0.469,,15.17,15.64,12.7,1.38,N/A,N/A,N/A,N/A
6,150,15.5,3.25,9,6.63,N/A,N/A,6.75,N/A,8.5,0.25,N/A,0.375,46,0.12,N/A,6,12.5,12,1+3/8,N/A,10.5,11,1+1/2,36,70,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,8.312,0.375,0.531,,34.04,35.31,12.7,1.5,N/A,N/A,N/A,N/A
8,200,19,3.62,11.5,8.63,N/A,N/A,8.38,N/A,10.62,0.25,N/A,0.438,50,0.16,N/A,8,15.5,12,1+5/8,N/A,11.75,12.25,1+3/4,42,119,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,10.625,0.438,0.656,,54.57,55.76,12.7,1.75,N/A,N/A,N/A,N/A
10,250,23,4.25,14.5,10.75,N/A,N/A,10,N/A,12.75,0.25,N/A,0.438,54,0.16,N/A,10,19,12,1+7/8,N/A,13.5,14,2,48,204,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,12.75,0.438,0.656,,82.81,84.36,12.7,2,N/A,N/A,N/A,N/A
12,300,26.5,4.88,17.5,12.75,N/A,N/A,11.12,N/A,15,0.25,N/A,0.562,58,0.19,N/A,12,22.5,16,2,N/A,15,15.75,2+1/8,52,303,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,15,0.562,0.806,,140.67,145.59,12.7,2.12,N/A,N/A,N/A,N/A
14,350,29.5,5.25,19.5,14,,N/A,11.75,N/A,16.25,0.25,N/A,0.625,63,0.22,N/A,14,25,16,2+1/4,N/A,16.25,17.52,2+3/8,56,400,N/A,N/A,N/A,14,N/A,N/A,N/A,N/A,16.5,0.625,1.062,,172.7,181.1,12.7,2.38,N/A,N/A,N/A,N/A
16,400,32.5,5.75,21.75,16,,N/A,12.25,N/A,18.5,0.25,N/A,0.688,67,0.31,N/A,16,27.75,16,2+1/2,N/A,17.25,19,2+5/8,64,510,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,18.5,0.688,1.188,,244.86,257.8,12.7,2.62,N/A,N/A,N/A,N/A
18,450,36,6.38,23.5,18,,N/A,12.88,N/A,21,0.25,N/A,0.688,71,0.31,N/A,18,30.5,16,2+3/4,N/A,19.75,21,2+7/8,72,738,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,21,0.688,1.188,,340.63,357.12,12.7,2.88,N/A,N/A,N/A,N/A
20,500,38.75,7,25.25,20,,N/A,14,N/A,23,0.25,N/A,0.688,75,0.38,N/A,20,32.75,16,3,N/A,21.5,22.5,3+1/8,76,932,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,23,0.688,1.312,,411.51,424.8,12.7,3.12,N/A,N/A,N/A,N/A
24,600,46,8,30,24,,N/A,16,N/A,27.25,0.25,N/A,0.812,79,0.44,N/A,24,39,16,3+1/2,N/A,24.5,26,3+5/8,90,1511,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,27.25,0.812,1.438,,650.24,679.67,12.7,3.62,N/A,N/A,N/A,N/A
